"lang"
{
	"Language"	"Polish"
		"DOTA_Tooltip_ability_xhs_vampiric_aura_aura_stickyness"                                       "LEPKOŚĆ AURY:"
		"DOTA_Tooltip_ability_holdout_illidan_evasion_transparency_fade"                               "PRZEZROCZYSTOŚĆ ZGADZA SIĘ:"
		"DOTA_Tooltip_ability_holdout_illidan_evasion_radius"                                          "PROMIEŃ:"
		"DOTA_Tooltip_ability_holdout_metamorphosis_bonus_range"                                       "ZAKRES BONUSOWY:"
		"DOTA_Tooltip_ability_holdout_shockwave_end_radius"                                            "PROMIeń KOŃCOWY:"
		"DOTA_Tooltip_ability_holdout_shockwave_20_end_radius"                                         "PROMIeń KOŃCOWY:"
		"DOTA_Tooltip_ability_holdout_roar_20_radius"                                                  "PROMIEŃ:"
		"DOTA_Tooltip_ability_holdout_crushing_wave_end_radius"                                        "PROMIeń KOŃCOWY:"
		"DOTA_Tooltip_ability_holdout_drain_scepter_cooldown"                                          "CZAS ODNOWIENIA Berła:"
		"DOTA_Tooltip_ability_holdout_mana_shield_absorption_tooltip"                                  "ABSORPCJA:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_radius"                                           "PROMIEŃ:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_collision_radius"                                 "PROMIeń KOLIZJI:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_splash_radius"                                    "PROMIeń rozprysku:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_duration"                                         "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_speed"                                            "PRĘDKOŚĆ:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_machines_per_sec"                                 "MASZYNY NA SEK.:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_distance"                                         "ODLEGŁOŚĆ:"
		"DOTA_Tooltip_ability_holdout_rain_of_ice_explosions_per_tick"                                 "WYBUCHY NA KARTĘ:"
		"DOTA_Tooltip_ability_holdout_rain_of_ice_radius_explosion"                                    "WYBUCH PROMIENIOWY:"
		"DOTA_Tooltip_ability_holdout_rain_of_ice_duration_total"                                      "ŁĄCZNY CZAS TRWANIA:"
		"DOTA_Tooltip_ability_xhs_blademaster_mirror_image_outgoing_damage"                            "% OBRAŻEŃ WYCHODZĄCYCH:"
		"DOTA_Tooltip_ability_xhs_blademaster_mirror_image_incoming_damage"                            "% NADCHODZĄCYCH OBRAŻEŃ:"
		"DOTA_Tooltip_ability_xhs_blademaster_mirror_image_tooltip_incoming_damage_total_pct"          "SUMA OBRAŻEŃ PRZYCHODZĄCYCH: %"
		"DOTA_Tooltip_ability_xhs_blademaster_mirror_image_invuln_duration"                            "CZAS TRWANIA INWULNY:"
		"DOTA_Tooltip_ability_holdout_inner_fire_duration"                                             "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_holdout_bash_arrows_attack_count"                                        "LICZBA ATAKÓW:"
		"DOTA_Tooltip_ability_holdout_rocket_hail_time_between_skulls"                                 "CZAS MIĘDZY CZASZKAMI:"
		"DOTA_Tooltip_ability_serpent_splash_arrows_Description"                                       "Pasywny.Wężowe Splash Arrows stosuje efekty wymienione poniżej."
		"DOTA_Tooltip_ability_serpent_splash_arrows_radius"                                            "PROMIEŃ:"
		"DOTA_Tooltip_ability_serpent_splash_arrows_cleave_pct"                                        "% ROZCIĄGNIJ:"
		"DOTA_Tooltip_ability_serpent_splash_arrows_bonus_damage"                                      "DODATKOWE OBRAŻENIA:"
		"DOTA_Tooltip_ability_holdout_laser_trap_duration"                                             "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_holdout_hex_damage_min"                                                  "MINIMALNE OBRAŻENIA:"
		"DOTA_Tooltip_ability_holdout_hex_damage_max"                                                  "MAKSYMALNE OBRAŻENIA:"
		"DOTA_Tooltip_ability_holdout_hex_duration"                                                    "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_holdout_forked_lightning_start_radius"                                   "PROMIeń STARTU:"
		"DOTA_Tooltip_ability_holdout_forked_lightning_end_distance"                                   "ODLEGŁOŚĆ KOŃCOWA:"
		"DOTA_Tooltip_ability_holdout_lunar_glaive"                                                    "Księżycowa Glewia"
		"DOTA_Tooltip_ability_holdout_lunar_glaive_Description"                                        "Ataki odbijają się pomiędzy pobliskimi wrogami, zadając zmniejszone obrażenia przy każdym odbiciu."
		"DOTA_Tooltip_ability_holdout_lunar_glaive_range"                                              "ZAKRES:"
		"DOTA_Tooltip_ability_holdout_lunar_glaive_bounces"                                            "ODBICIA:"
		"DOTA_Tooltip_ability_holdout_lunar_glaive_damage_reduction_percent"                           "% REDUKCJI OBRAŻEŃ:"
		"DOTA_Tooltip_ability_holdout_moon_explosion_hit_count"                                        "LICZBA TRAFIEŃ:"
		"DOTA_Tooltip_ability_holdout_neutralization_projectile_speed"                                 "PRĘDKOŚĆ POCISKU:"
		"DOTA_Tooltip_ability_holdout_storm_bolt_bolt_speed"                                           "PRĘDKOŚĆ ŚRUBY:"
		"DOTA_Tooltip_ability_holdout_storm_bolt_vision_radius"                                        "PROMIeń WIZJI:"
		"DOTA_Tooltip_ability_muradin_avatar_bonus_as"                                                 "PREMIA JAKO:"
		"DOTA_Tooltip_ability_muradin_avatar_bonus_model_scale"                                        "BONUSOWA SKALA MODELU:"
		"DOTA_Tooltip_ability_holdout_avatar_percentage_over_model_scale"                              "%PROCENT W SKALI MODELU:"
		"DOTA_Tooltip_ability_holdout_thunder_clap_duration_creeps"                                    "CZAS TRWANIA pełza:"
		"DOTA_Tooltip_ability_holdout_storm_bolt_20_bolt_speed"                                        "PRĘDKOŚĆ ŚRUBY:"
		"DOTA_Tooltip_ability_holdout_storm_bolt_20_bolt_aoe"                                          "ŚRUBA AOE:"
		"DOTA_Tooltip_ability_holdout_storm_bolt_20_vision_radius"                                     "PROMIeń WIZJI:"
		"DOTA_Tooltip_ability_holdout_thunder_clap_20_duration_creeps"                                 "CZAS TRWANIA pełza:"
		"DOTA_Tooltip_ability_holdout_holy_light_blast_speed"                                          "PRĘDKOŚĆ WYBUCHU:"
		"DOTA_Tooltip_ability_holdout_knights_armor_creep_return_percent"                              "%CREEP POWROT:"
		"DOTA_Tooltip_ability_holdout_bane_death_coil_projectile_speed"                                "PRĘDKOŚĆ POCISKU:"
		"DOTA_Tooltip_ability_holdout_bane_permanent_immolation_tick_time"                             "WSPÓŁCZYNNIK TICKOWANIA:"
		"DOTA_Tooltip_ability_holdout_command_aura_innate_bonus_damage_percentage_self"                "%BONUSOWY PROCENT OBRAŻEŃ WŁASNYCH:"
		"DOTA_Tooltip_ability_holdout_stampede_time_between_skulls"                                    "CZAS MIĘDZY CZASZKAMI:"
		"DOTA_Tooltip_ability_holdout_stampede_skulls_per_tick"                                        "CZASZKI NA KLESZCZ:"
		"DOTA_Tooltip_ability_holdout_firestorm_wave_duration"                                         "CZAS TRWANIA FALI:"
		"DOTA_Tooltip_ability_holdout_firestorm_wave_interval"                                         "INTERWAŁ FALI:"
		"DOTA_Tooltip_ability_holdout_firestorm_burn_interval"                                         "INTERWAŁ PALENIA:"
		"DOTA_Tooltip_ability_holdout_firestorm_first_wave_delay"                                      "OPÓŹNIENIE PIERWSZEJ FALI:"
		"DOTA_Tooltip_ability_holdout_war_thunder_stun_duration"                                       "CZAS Ogłuszenia:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_duration"                                          "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_seek_radius"                                       "SZUKAJ PROMIENIA:"
		"DOTA_Tooltip_ability_holdout_doom_projectile_speed"                                           "PRĘDKOŚĆ POCISKU:"
		"DOTA_Tooltip_ability_doom_golem_hot_skin_radius"                                              "PROMIEŃ:"
		"DOTA_Tooltip_ability_doom_golem_hot_skin_dps"                                                 "DPS:"
		"DOTA_Tooltip_ability_holdout_gust_pool_total_damage_tooltip"                                  "CAŁKOWITE USZKODZENIA:"
		"DOTA_Tooltip_ability_holdout_hurl_bomb_bolt_speed"                                            "PRĘDKOŚĆ ŚRUBY:"
		"DOTA_Tooltip_ability_holdout_hurl_bomb_vision_radius"                                         "PROMIeń WIZJI:"
		"DOTA_Tooltip_ability_holdout_fan_of_rockets_speed"                                            "PRĘDKOŚĆ:"
		"DOTA_Tooltip_ability_holdout_roar_radius"                                                     "PROMIEŃ:"
		"DOTA_Tooltip_ability_holdout_roar_bonus_damage"                                               "DODATKOWE OBRAŻENIA:"
		"DOTA_Tooltip_ability_holdout_clone_illusion_duration"                                         "CZAS TRWANIA ILUZJI:"
		"DOTA_Tooltip_ability_holdout_clone_outgoing_damage"                                           "% OBRAŻEŃ WYCHODZĄCYCH:"
		"DOTA_Tooltip_ability_holdout_cluster_rockets_explosions_per_tick"                             "WYBUCHY NA KARTĘ:"
		"DOTA_Tooltip_ability_holdout_cluster_rockets_radius_explosion"                                "WYBUCH PROMIENIOWY:"
		"DOTA_Tooltip_ability_holdout_distance_aura_aura_radius"                                       "PROMIeń AURY:"
		"DOTA_Tooltip_ability_holdout_storm_rain_start_radius"                                         "PROMIeń STARTU:"
		"DOTA_Tooltip_ability_holdout_storm_rain_end_radius"                                           "PROMIeń KOŃCOWY:"
		"DOTA_Tooltip_ability_holdout_rejuvenation_tick_interval"                                      "INTERWAŁ TYKÓW:"
		"DOTA_Tooltip_ability_holdout_monsoon_explosion_radius"                                        "PROMIEŃ WYBUCHU:"
		"DOTA_Tooltip_ability_holdout_monsoon_explosion_interval"                                      "CZAS WYBUCHU:"
		"DOTA_Tooltip_ability_holdout_monsoon_slow_duration"                                           "CZAS WOLNOŚCI:"
		"DOTA_Tooltip_ability_holdout_monsoon_explosion_min_dist"                                      "MIN ODLEGŁOŚĆ WYBUCHU:"
		"DOTA_Tooltip_ability_holdout_monsoon_explosion_max_dist"                                      "MAKSYMALNA ODLEGŁOŚĆ WYBUCHU:"
		"DOTA_Tooltip_ability_holdout_monsoon_small_explosion_radius"                                  "PROMIEŃ WYBUCHU:"
		"DOTA_Tooltip_ability_holdout_monsoon_small_explosion_interval"                                "CZAS WYBUCHU:"
		"DOTA_Tooltip_ability_holdout_monsoon_small_slow_duration"                                     "CZAS WOLNOŚCI:"
		"DOTA_Tooltip_ability_holdout_monsoon_small_explosion_min_dist"                                "MIN ODLEGŁOŚĆ WYBUCHU:"
		"DOTA_Tooltip_ability_holdout_monsoon_small_explosion_max_dist"                                "MAKSYMALNA ODLEGŁOŚĆ WYBUCHU:"
		"DOTA_Tooltip_ability_holdout_permanent_lightning_tick_time"                                   "WSPÓŁCZYNNIK TICKOWANIA:"
		"DOTA_Tooltip_ability_holdout_burning_oil_radius"                                              "PROMIEŃ:"
		"DOTA_Tooltip_ability_holdout_burning_oil_first_strike_duration"                               "CZAS TRWANIA PIERWSZEGO UDERZENIA:"
		"DOTA_Tooltip_ability_holdout_burning_oil_radius_tooltip"                                      "PROMIEŃ:"
		"DOTA_Tooltip_ability_holdout_dragon_slave_alt_speed"                                          "PRĘDKOŚĆ:"
		"DOTA_Tooltip_ability_holdout_firebolt_blast_speed"                                            "PRĘDKOŚĆ WYBUCHU:"
		"DOTA_Tooltip_ability_holdout_phoenix_phoenix_egg_duration"                                    "CZAS TRWANIA JAJA FENIKSA:"
		"DOTA_Tooltip_ability_holdout_phoenix_spawn_distance"                                          "ODLEGŁOŚĆ POJAWIENIA SIĘ:"
		"DOTA_Tooltip_ability_blood_mage_phoenix_reborn_phoenix_damage_per_second"                     "OBRAŻENIA FENIKSA NA SEKUNDĘ:"
		"DOTA_Tooltip_ability_blood_mage_phoenix_reborn_phoenix_egg_duration"                          "CZAS TRWANIA JAJA FENIKSA:"
		"DOTA_Tooltip_ability_blood_mage_phoenix_reborn_phoenix_immolation_radius"                     "PROMIeń SPALANIA FENIKSA:"
		"DOTA_Tooltip_ability_blood_mage_phoenix_egg"                                                  "Jajo Feniksa Maga Krwi"
		"DOTA_Tooltip_ability_blood_mage_phoenix_egg_Description"                                      "Przemienia się w jajo feniksa.Jeśli jajko przeżyje, rzucający powraca do bitwy."
		"DOTA_Tooltip_ability_holdout_rain_of_fire_radius_explosion"                                   "WYBUCH PROMIENIOWY:"
		"DOTA_Tooltip_ability_holdout_rain_of_fire_duration_total"                                     "ŁĄCZNY CZAS TRWANIA:"
		"DOTA_Tooltip_ability_holdout_blizzard_wave_interval"                                          "INTERWAŁ FALI:"
		"DOTA_Tooltip_ability_holdout_blizzard_wps_thinker"                                            "MYŚLNIK WPS:"
		"DOTA_Tooltip_ability_holdout_frostbolt_blast_speed"                                           "PRĘDKOŚĆ WYBUCHU:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_index"                                      "INDEKS WILKA:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_1_count"                                    "LICZBA WILKA 1:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_2_count"                                    "LICZBA WILKA 2:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_3_count"                                    "LICZBA WILKA 3:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_4_count"                                    "LICZBA WILKÓW 4:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_spawn_distance"                                  "ODLEGŁOŚĆ POJAWIENIA SIĘ:"
		"DOTA_Tooltip_ability_holdout_anubarak_claw_bonus_movement_speed_percentage"                   "%BONUSOWY PROCENT PRĘDKOŚCI RUCHU:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_spirit_speed"                                       "PRĘDKOŚĆ DUCHA:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_max_distance"                                       "MAKSYMALNA ODLEGŁOŚĆ:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_give_up_distance"                                   "PODDAJ SIĘ ODLEGŁOŚCIĄ:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_min_damage"                                         "MINIMALNE OBRAŻENIA:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_max_damage"                                         "MAKSYMALNE OBRAŻENIA:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_delay_between_spirits"                              "OPÓŹNIENIE MIĘDZY DUCHAMI:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_min_time_between_attacks"                           "MIN CZAS POMIĘDZY ATAKAMI:"
		"DOTA_Tooltip_ability_rifleman_assassinate_projectile_speed"                                   "PRĘDKOŚĆ POCISKU:"
		"DOTA_Tooltip_ability_rifleman_assassinate_total_cast_time_tooltip"                            "CAŁKOWITY CZAS RZUCENIA:"
		"DOTA_Tooltip_ability_rifleman_assassinate_aim_duration"                                       "CZAS TRWANIA CELOWANIA:"
		"DOTA_Tooltip_ability_rifleman_assassinate_scatter_width"                                      "SZEROKOŚĆ ROZPROSZENIA:"
		"DOTA_Tooltip_ability_rifleman_assassinate_stun_duration"                                      "CZAS Ogłuszenia:"
		"DOTA_Tooltip_ability_holdout_dark_pact_heal"                                                  "LECZ:"
		"DOTA_Tooltip_ability_holdout_sea_dragon_form_corrosive_breath_damage"                         "ŻRĄCE USZKODZENIA ODDECHOWE:"
		"DOTA_Tooltip_ability_holdout_sea_dragon_form_corrosive_breath_duration"                       "CZAS ODDYCHANIA ŻRĄCEGO:"
		"DOTA_Tooltip_ability_holdout_rejuvenation_alt_heal_per_sec_creep_pct"                         "%LECZENIA NA SEK. CREEP:"
		"DOTA_Tooltip_ability_holdout_mark_of_the_claw_cleave_start"                                   "% ROZCIĄGNIJ START:"
		"DOTA_Tooltip_ability_holdout_mark_of_the_claw_cleave_end"                                     "% ROZCIĄGNIJ KONIEC:"
		"DOTA_Tooltip_ability_holdout_strength_of_the_wild_bonus_damage_percentage"                    "%BONUSOWY PROCENT OBRAŻEŃ:"
		"DOTA_Tooltip_ability_imba_malfurion_living_tower_duration"                                    "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_holdout_slow_pool_total_damage_tooltip"                                  "CAŁKOWITE USZKODZENIA:"
		"DOTA_Tooltip_ability_holdout_war_club_bonus_range"                                            "ZAKRES BONUSOWY:"
		"DOTA_Tooltip_ability_holdout_war_club_20_bonus_range"                                         "ZAKRES BONUSOWY:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_min_speed"                                            "PRĘDKOŚĆ MINIMALNA:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_buff_radius"                                          "PROMIEŃ WZMOCNIENIA:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_buff_duration"                                        "CZAS TRWANIA WZMOCNIENIA:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_max_time"                                             "CZAS MAKSYMALNY:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_base_height"                                          "WYSOKOŚĆ PODSTAWY:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_height_step"                                          "KROK WYSOKOŚCI:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_max_height"                                           "MAKSYMALNA WYSOKOŚĆ:"
		"DOTA_Tooltip_ability_holdout_second_wind_regen_cooldown"                                      "CZAS ODNOWIENIA REGENERACJI:"
		"DOTA_Tooltip_ability_holdout_culling_blade_leap_speed"                                        "PRĘDKOŚĆ SKOKU:"
		"DOTA_Tooltip_ability_holdout_culling_blade_leap_acceleration"                                 "PRZYSPIESZENIE SKOKU:"
		"DOTA_Tooltip_ability_holdout_culling_blade_leap_radius"                                       "PROMIEŃ SKOKU:"
		"DOTA_Tooltip_ability_holdout_culling_blade_cooldown_scepter"                                  "Berło odnowienia:"
		"DOTA_Tooltip_ability_holdout_tornado_tempest_vision_distance"                                 "ODLEGŁOŚĆ WIDZENIA:"
		"DOTA_Tooltip_ability_holdout_tornado_tempest_end_vision_duration"                             "CZAS TRWANIA WIZJI KOŃCOWEJ:"
		"DOTA_Tooltip_ability_holdout_tornado_tempest_cyclone_min_height"                              "MINIMALNA WYSOKOŚĆ CYKLONU:"
		"DOTA_Tooltip_ability_holdout_tornado_tempest_cyclone_initial_height"                          "WYSOKOŚĆ POCZĄTKOWA CYKLONU:"
		"DOTA_Tooltip_ability_holdout_tornado_tempest_cyclone_max_height"                              "MAKSYMALNA WYSOKOŚĆ CYKLONU:"
		"DOTA_Tooltip_ability_holdout_acid_skin_Description"                                           "Pasywny.Acid Skin stosuje efekty wymienione poniżej."
		"DOTA_Tooltip_ability_holdout_acid_skin_max_range_tooltip"                                     "ZASIĘG MAKSYMALNY:"
		"DOTA_Tooltip_ability_holdout_shadow_bolt_blast_speed"                                         "PRĘDKOŚĆ WYBUCHU:"
		"DOTA_Tooltip_ability_holdout_consuming_flame_tick_time"                                       "WSPÓŁCZYNNIK TICKOWANIA:"
		"DOTA_Tooltip_ability_holdout_bristleback_side_angle"                                          "KĄT BOCZNY:"
		"DOTA_Tooltip_ability_holdout_bristleback_back_angle"                                          "KĄT TYŁU:"
		"DOTA_Tooltip_ability_imba_sven_storm_bolt_speed"                                              "PRĘDKOŚĆ:"
		"DOTA_Tooltip_ability_imba_sven_storm_bolt_vision_radius"                                      "PROMIeń WIZJI:"
		"DOTA_Tooltip_ability_creature_death_pulse_Description"                                        "Aktywuje Impuls Śmierci.Dokładne efekty można znaleźć w poniższych wartościach."
