"lang"
{
	"Language"	"Turkish"
		"DOTA_Tooltip_ability_holdout_shockwave_20_end_radius"                                            "BİTİŞ YARIÇAPI:"
		"DOTA_Tooltip_ability_holdout_roar_20_radius"                                                     "YARIÇAP:"
		"DOTA_Tooltip_ability_holdout_crushing_wave_end_radius"                                           "BİTİŞ YARIÇAPI:"
		"DOTA_Tooltip_ability_holdout_drain_scepter_cooldown"                                             "SCEPTER'IN BEKLEME SÜRESİ:"
		"DOTA_Tooltip_ability_holdout_mana_shield_absorption_tooltip"                                     "EMİLİM:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_radius"                                              "YARIÇAP:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_collision_radius"                                    "ÇARPIŞMA YARIÇAPI:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_splash_radius"                                       "SIÇRAMA YARIÇAPI:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_duration"                                            "SÜRE:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_speed"                                               "HIZ:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_machines_per_sec"                                    "SANİYE BAŞINA MAKİNE SAYISI:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_distance"                                            "MESAFE:"
		"DOTA_Tooltip_ability_holdout_rain_of_ice_explosions_per_tick"                                    "TİK BAŞINA PATLAMA:"
		"DOTA_Tooltip_ability_holdout_rain_of_ice_radius_explosion"                                       "YARIÇAP PATLAMASI:"
		"DOTA_Tooltip_ability_holdout_rain_of_ice_duration_total"                                         "TOPLAM SÜRE:"
		"DOTA_Tooltip_ability_xhs_blademaster_mirror_image_outgoing_damage"                               "GİDEN HASAR %'si:"
		"DOTA_Tooltip_ability_xhs_blademaster_mirror_image_incoming_damage"                               "GELEN HASAR %'si:"
		"DOTA_Tooltip_ability_xhs_blademaster_mirror_image_tooltip_incoming_damage_total_pct"             "%ARAÇ İPUCU GELEN HASAR TOPLAM:"
		"DOTA_Tooltip_ability_xhs_blademaster_mirror_image_invuln_duration"                               "YARALANMA SÜRESİ:"
		"DOTA_Tooltip_ability_holdout_inner_fire_duration"                                                "SÜRE:"
		"DOTA_Tooltip_ability_holdout_bash_arrows_attack_count"                                           "SALDIRI SAYISI:"
		"DOTA_Tooltip_ability_holdout_rocket_hail_time_between_skulls"                                    "KAFATASI ARASINDAKİ ZAMAN:"
		"DOTA_Tooltip_ability_serpent_splash_arrows_Description"                                          "Pasif.Yılan Sıçrama Okları aşağıda listelenen efektleri uygular."
		"DOTA_Tooltip_ability_serpent_splash_arrows_radius"                                               "YARIÇAP:"
		"DOTA_Tooltip_ability_serpent_splash_arrows_cleave_pct"                                           "%YARILMA:"
		"DOTA_Tooltip_ability_serpent_splash_arrows_bonus_damage"                                         "EK HASAR:"
		"DOTA_Tooltip_ability_holdout_laser_trap_duration"                                                "SÜRE:"
		"DOTA_Tooltip_ability_holdout_hex_damage_min"                                                     "MİN. HASAR:"
		"DOTA_Tooltip_ability_holdout_hex_damage_max"                                                     "MAKS. HASAR:"
		"DOTA_Tooltip_ability_holdout_hex_duration"                                                       "SÜRE:"
		"DOTA_Tooltip_ability_holdout_forked_lightning_start_radius"                                      "BAŞLANGIÇ YARIÇAPI:"
		"DOTA_Tooltip_ability_holdout_forked_lightning_end_distance"                                      "BİTİŞ MESAFESİ:"
		"DOTA_Tooltip_ability_holdout_lunar_glaive"                                                       "Ay Kılıcı"
		"DOTA_Tooltip_ability_holdout_lunar_glaive_Description"                                           "Saldırılar yakındaki düşmanlar arasında sekerek her sıçramada daha az hasar verir."
		"DOTA_Tooltip_ability_holdout_lunar_glaive_range"                                                 "ARALIK:"
		"DOTA_Tooltip_ability_holdout_lunar_glaive_bounces"                                               "ZIPLAMALAR:"
		"DOTA_Tooltip_ability_holdout_lunar_glaive_damage_reduction_percent"                              "% HASAR AZALTILMASI:"
		"DOTA_Tooltip_ability_holdout_moon_explosion_hit_count"                                           "VURUŞ SAYISI:"
		"DOTA_Tooltip_ability_holdout_neutralization_projectile_speed"                                    "MERMI HIZI:"
		"DOTA_Tooltip_ability_holdout_storm_bolt_bolt_speed"                                              "CIVATA HIZI:"
		"DOTA_Tooltip_ability_holdout_storm_bolt_vision_radius"                                           "GÖRÜŞ YARIÇAPI:"
		"DOTA_Tooltip_ability_muradin_avatar_bonus_as"                                                    "BONUS ŞEKLİ:"
		"DOTA_Tooltip_ability_muradin_avatar_bonus_model_scale"                                           "BONUS MODEL ÖLÇEĞİ:"
		"DOTA_Tooltip_ability_holdout_avatar_percentage_over_model_scale"                                 "MODEL ÖLÇEĞİNDE %YÜZDE:"
		"DOTA_Tooltip_ability_holdout_thunder_clap_duration_creeps"                                       "SÜRE SÜRECİ:"
		"DOTA_Tooltip_ability_holdout_storm_bolt_20_bolt_speed"                                           "CIVATA HIZI:"
		"DOTA_Tooltip_ability_holdout_storm_bolt_20_bolt_aoe"                                             "CIVATA Etki Alanı:"
		"DOTA_Tooltip_ability_holdout_storm_bolt_20_vision_radius"                                        "GÖRÜŞ YARIÇAPI:"
		"DOTA_Tooltip_ability_holdout_thunder_clap_20_duration_creeps"                                    "SÜRE SÜRECİ:"
		"DOTA_Tooltip_ability_holdout_holy_light_blast_speed"                                             "PATLAMA HIZI:"
		"DOTA_Tooltip_ability_holdout_knights_armor_creep_return_percent"                                 "%CREEP DÖNÜŞÜ:"
		"DOTA_Tooltip_ability_holdout_bane_death_coil_projectile_speed"                                   "MERMI HIZI:"
		"DOTA_Tooltip_ability_holdout_bane_permanent_immolation_tick_time"                                "TİK ORANI:"
		"DOTA_Tooltip_ability_holdout_command_aura_innate_bonus_damage_percentage_self"                   "%BONUS HASAR YÜZDESİ KENDİ:"
		"DOTA_Tooltip_ability_holdout_stampede_time_between_skulls"                                       "KAFATASI ARASINDAKİ ZAMAN:"
		"DOTA_Tooltip_ability_holdout_stampede_skulls_per_tick"                                           "TİK BAŞINA KAFATASI:"
		"DOTA_Tooltip_ability_holdout_firestorm_wave_duration"                                            "DALGA SÜRESİ:"
		"DOTA_Tooltip_ability_holdout_firestorm_wave_interval"                                            "DALGA ARALIĞI:"
		"DOTA_Tooltip_ability_holdout_firestorm_burn_interval"                                            "YANIK ARALIĞI:"
		"DOTA_Tooltip_ability_holdout_firestorm_first_wave_delay"                                         "İLK DALGA GECİKMESİ:"
		"DOTA_Tooltip_ability_holdout_war_thunder_stun_duration"                                          "ŞOKLAMA SÜRESİ:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_duration"                                             "SÜRE:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_seek_radius"                                          "YARIÇAP ARAYIN:"
		"DOTA_Tooltip_ability_holdout_doom_projectile_speed"                                              "MERMI HIZI:"
		"DOTA_Tooltip_ability_doom_golem_hot_skin_radius"                                                 "YARIÇAP:"
		"DOTA_Tooltip_ability_doom_golem_hot_skin_dps"                                                    "DPS:"
		"DOTA_Tooltip_ability_holdout_gust_pool_total_damage_tooltip"                                     "TOPLAM HASAR:"
		"DOTA_Tooltip_ability_holdout_hurl_bomb_bolt_speed"                                               "CIVATA HIZI:"
		"DOTA_Tooltip_ability_holdout_hurl_bomb_vision_radius"                                            "GÖRÜŞ YARIÇAPI:"
		"DOTA_Tooltip_ability_holdout_fan_of_rockets_speed"                                               "HIZ:"
		"DOTA_Tooltip_ability_holdout_roar_radius"                                                        "YARIÇAP:"
		"DOTA_Tooltip_ability_holdout_roar_bonus_damage"                                                  "EK HASAR:"
		"DOTA_Tooltip_ability_holdout_clone_illusion_duration"                                            "İLLÜZYON SÜRESİ:"
		"DOTA_Tooltip_ability_holdout_clone_outgoing_damage"                                              "GİDEN HASAR %'si:"
		"DOTA_Tooltip_ability_holdout_cluster_rockets_explosions_per_tick"                                "TİK BAŞINA PATLAMA:"
		"DOTA_Tooltip_ability_holdout_cluster_rockets_radius_explosion"                                   "YARIÇAP PATLAMASI:"
		"DOTA_Tooltip_ability_holdout_distance_aura_aura_radius"                                          "AURA YARIÇAPI:"
		"DOTA_Tooltip_ability_holdout_storm_rain_start_radius"                                            "BAŞLANGIÇ YARIÇAPI:"
		"DOTA_Tooltip_ability_holdout_storm_rain_end_radius"                                              "BİTİŞ YARIÇAPI:"
		"DOTA_Tooltip_ability_holdout_rejuvenation_tick_interval"                                         "İŞARETİ ARALIĞI:"
		"DOTA_Tooltip_ability_holdout_monsoon_explosion_radius"                                           "PATLAMA YARIÇAPI:"
		"DOTA_Tooltip_ability_holdout_monsoon_explosion_interval"                                         "PATLAMA ARALIĞI:"
		"DOTA_Tooltip_ability_holdout_monsoon_slow_duration"                                              "YAVAŞLAMA SÜRESİ:"
		"DOTA_Tooltip_ability_holdout_monsoon_explosion_min_dist"                                         "PATLAMA MIN MESAFE:"
		"DOTA_Tooltip_ability_holdout_monsoon_explosion_max_dist"                                         "PATLAMA MAKS. MESAFESİ:"
		"DOTA_Tooltip_ability_holdout_monsoon_small_explosion_radius"                                     "PATLAMA YARIÇAPI:"
		"DOTA_Tooltip_ability_holdout_monsoon_small_explosion_interval"                                   "PATLAMA ARALIĞI:"
		"DOTA_Tooltip_ability_holdout_monsoon_small_slow_duration"                                        "YAVAŞLAMA SÜRESİ:"
		"DOTA_Tooltip_ability_holdout_monsoon_small_explosion_min_dist"                                   "PATLAMA MIN MESAFE:"
		"DOTA_Tooltip_ability_holdout_monsoon_small_explosion_max_dist"                                   "PATLAMA MAKS. MESAFESİ:"
		"DOTA_Tooltip_ability_holdout_permanent_lightning_tick_time"                                      "TİK ORANI:"
		"DOTA_Tooltip_ability_holdout_burning_oil_radius"                                                 "YARIÇAP:"
		"DOTA_Tooltip_ability_holdout_burning_oil_first_strike_duration"                                  "İLK VURUŞ SÜRESİ:"
		"DOTA_Tooltip_ability_holdout_burning_oil_radius_tooltip"                                         "YARIÇAP:"
		"DOTA_Tooltip_ability_holdout_dragon_slave_alt_speed"                                             "HIZ:"
		"DOTA_Tooltip_ability_holdout_firebolt_blast_speed"                                               "PATLAMA HIZI:"
		"DOTA_Tooltip_ability_holdout_phoenix_phoenix_egg_duration"                                       "PHOENIX YUMURTA SÜRESİ:"
		"DOTA_Tooltip_ability_holdout_phoenix_spawn_distance"                                             "DOĞMA MESAFESİ:"
		"DOTA_Tooltip_ability_blood_mage_phoenix_reborn_phoenix_damage_per_second"                        "SANİYE BAŞINA PHOENIX HASARI:"
		"DOTA_Tooltip_ability_blood_mage_phoenix_reborn_phoenix_egg_duration"                             "PHOENIX YUMURTA SÜRESİ:"
		"DOTA_Tooltip_ability_blood_mage_phoenix_reborn_phoenix_immolation_radius"                        "PHOENIX IMMOLATION YARIÇAPI:"
		"DOTA_Tooltip_ability_blood_mage_phoenix_egg"                                                     "Kan Büyücüsü Phoenix Yumurtası"
		"DOTA_Tooltip_ability_blood_mage_phoenix_egg_Description"                                         "Anka kuşu yumurtasına dönüşür.Yumurta hayatta kalırsa, büyüyü yapan kişi savaşa geri döner."
		"DOTA_Tooltip_ability_holdout_rain_of_fire_radius_explosion"                                      "YARIÇAP PATLAMASI:"
		"DOTA_Tooltip_ability_holdout_rain_of_fire_duration_total"                                        "TOPLAM SÜRE:"
		"DOTA_Tooltip_ability_holdout_blizzard_wave_interval"                                             "DALGA ARALIĞI:"
		"DOTA_Tooltip_ability_holdout_blizzard_wps_thinker"                                               "WPS DÜŞÜNÜRÜ:"
		"DOTA_Tooltip_ability_holdout_frostbolt_blast_speed"                                              "PATLAMA HIZI:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_index"                                         "KURT ENDEKSİ:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_1_count"                                       "KURT 1 SAYISI:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_2_count"                                       "KURT 2 SAYISI:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_3_count"                                       "KURT 3 SAYIMI:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_4_count"                                       "KURT 4 SAYISI:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_spawn_distance"                                     "DOĞMA MESAFESİ:"
		"DOTA_Tooltip_ability_holdout_anubarak_claw_bonus_movement_speed_percentage"                      "%BONUS HAREKET HIZI YÜZDE:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_spirit_speed"                                          "RUH HIZI:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_max_distance"                                          "MAKS. MESAFE:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_give_up_distance"                                      "MESAFEDEN VAZGEÇİN:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_min_damage"                                            "MİNİMUM HASAR:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_max_damage"                                            "MAKS. HASAR:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_delay_between_spirits"                                 "RUHLAR ARASINDAKİ GECİKME:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_min_time_between_attacks"                              "SALDIRILAR ARASINDAKİ MİNİMUM SÜRE:"
		"DOTA_Tooltip_ability_rifleman_assassinate_projectile_speed"                                      "MERMI HIZI:"
		"DOTA_Tooltip_ability_rifleman_assassinate_total_cast_time_tooltip"                               "TOPLAM YAYIN SÜRESİ:"
		"DOTA_Tooltip_ability_rifleman_assassinate_aim_duration"                                          "HEDEF SÜRESİ:"
		"DOTA_Tooltip_ability_rifleman_assassinate_scatter_width"                                         "DAĞILIM GENİŞLİĞİ:"
		"DOTA_Tooltip_ability_rifleman_assassinate_stun_duration"                                         "ŞOKLAMA SÜRESİ:"
		"DOTA_Tooltip_ability_holdout_dark_pact_heal"                                                     "İyileşme:"
		"DOTA_Tooltip_ability_holdout_sea_dragon_form_corrosive_breath_damage"                            "AŞINDIRICI NEFES HASARI:"
		"DOTA_Tooltip_ability_holdout_sea_dragon_form_corrosive_breath_duration"                          "AŞINDIRICI NEFES SÜRESİ:"
		"DOTA_Tooltip_ability_holdout_rejuvenation_alt_heal_per_sec_creep_pct"                            "SANİYE BAŞINA İYİLEŞME %'Sİ:"
		"DOTA_Tooltip_ability_holdout_mark_of_the_claw_cleave_start"                                      "%CLEAVE BAŞLANGIÇ:"
		"DOTA_Tooltip_ability_holdout_mark_of_the_claw_cleave_end"                                        "% PARÇALANMA SONU:"
		"DOTA_Tooltip_ability_holdout_strength_of_the_wild_bonus_damage_percentage"                       "%BONUS HASAR YÜZDESİ:"
		"DOTA_Tooltip_ability_imba_malfurion_living_tower_duration"                                       "SÜRE:"
		"DOTA_Tooltip_ability_holdout_slow_pool_total_damage_tooltip"                                     "TOPLAM HASAR:"
		"DOTA_Tooltip_ability_holdout_war_club_bonus_range"                                               "BONUS ARALIĞI:"
		"DOTA_Tooltip_ability_holdout_war_club_20_bonus_range"                                            "BONUS ARALIĞI:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_min_speed"                                               "MİNİMUM HIZ:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_buff_radius"                                             "GÜÇLENDİRME YARIÇAPI:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_buff_duration"                                           "GÜÇLENDİRME SÜRESİ:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_max_time"                                                "MAKS ZAMAN:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_base_height"                                             "TABAN YÜKSEKLİĞİ:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_height_step"                                             "YÜKSEKLİK ADIMI:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_max_height"                                              "MAKS YÜKSEKLİK:"
		"DOTA_Tooltip_ability_holdout_second_wind_regen_cooldown"                                         "YENİLENME BEKLEME SÜRESİ:"
		"DOTA_Tooltip_ability_holdout_culling_blade_leap_speed"                                           "Sıçrama hızı:"
		"DOTA_Tooltip_ability_holdout_culling_blade_leap_acceleration"                                    "ATLAMA HIZLANMASI:"
		"DOTA_Tooltip_ability_holdout_culling_blade_leap_radius"                                          "Sıçrama yarıçapı:"
		"DOTA_Tooltip_ability_holdout_culling_blade_cooldown_scepter"                                     "BEKLEME SÜRESİ SCEPTER:"
		"DOTA_Tooltip_ability_holdout_tornado_tempest_vision_distance"                                    "GÖRÜŞ MESAFESİ:"
		"DOTA_Tooltip_ability_holdout_tornado_tempest_end_vision_duration"                                "SON VİZYON SÜRESİ:"
		"DOTA_Tooltip_ability_holdout_tornado_tempest_cyclone_min_height"                                 "SİKLON MIN YÜKSEKLİK:"
		"DOTA_Tooltip_ability_holdout_tornado_tempest_cyclone_initial_height"                             "SİKLON BAŞLANGIÇ YÜKSEKLİĞİ:"
		"DOTA_Tooltip_ability_holdout_tornado_tempest_cyclone_max_height"                                 "SİKLON MAKS. YÜKSEKLİK:"
		"DOTA_Tooltip_ability_holdout_acid_skin_Description"                                              "Pasif.Asit Cilt aşağıda listelenen efektleri uygular."
		"DOTA_Tooltip_ability_holdout_acid_skin_max_range_tooltip"                                        "MAKS. ARALIK:"
		"DOTA_Tooltip_ability_holdout_shadow_bolt_blast_speed"                                            "PATLAMA HIZI:"
		"DOTA_Tooltip_ability_holdout_consuming_flame_tick_time"                                          "TİK ORANI:"
		"DOTA_Tooltip_ability_holdout_bristleback_side_angle"                                             "YAN AÇI:"
		"DOTA_Tooltip_ability_holdout_bristleback_back_angle"                                             "ARKA AÇI:"
		"DOTA_Tooltip_ability_imba_sven_storm_bolt_speed"                                                 "HIZ:"
		"DOTA_Tooltip_ability_imba_sven_storm_bolt_vision_radius"                                         "GÖRÜŞ YARIÇAPI:"
		"DOTA_Tooltip_ability_creature_death_pulse_Description"                                           "Death Pulse'u etkinleştirir.Kesin etkiler için aşağıdaki değerlere bakın."
		"DOTA_Tooltip_ability_creature_death_pulse_area_of_effect"                                        "ETKİ ALANI:"
		"DOTA_Tooltip_ability_creature_death_pulse_heal"                                                  "İyileşme:"
		"DOTA_Tooltip_ability_creature_death_pulse_projectile_speed"                                      "MERMI HIZI:"
		"DOTA_Tooltip_ability_xhs_creeps_phase_2_endurance_aura_endurance_bonus_movement_speed"           "%DAYANIKLILIK İLAVE HAREKET HIZI:"
		"DOTA_Tooltip_ability_grom_hellscream_mirror_image_outgoing_damage"                               "GİDEN HASAR %'si:"
		"DOTA_Tooltip_ability_grom_hellscream_mirror_image_incoming_damage"                               "GELEN HASAR %'si:"
		"DOTA_Tooltip_ability_grom_hellscream_mirror_image_invuln_duration"                               "YARALANMA SÜRESİ:"
		"DOTA_Tooltip_ability_grom_hellscream_bladefury_blade_fury_damage_tick"                           "BLADE FURY HASAR İŞARETİ:"
		"DOTA_Tooltip_ability_grom_hellscream_bladefury_blade_fury_damage"                                "BIÇAK HİDDETİ HASARI:"
		"DOTA_Tooltip_ability_divine_aura_bonus_attack_speed"                                             "FAZLA SALDIRI HIZI:"
		"DOTA_Tooltip_ability_arthas_knights_armor_damage_reduction"                                      "% HASAR AZALTILMASI:"
		"DOTA_Tooltip_ability_arthas_light_roar_radius"                                                   "YARIÇAP:"
		"DOTA_Tooltip_ability_creature_starfall_starfall_delay"                                           "STARFALL GECİKMESİ:"
