"lang"
{
	"Language"	"Russian"
		"DOTA_Tooltip_ability_tyrande_multiple_arrows_split_shot_bonus_range"                             "ДИАПАЗОН БОНУСА РАЗДЕЛЕННОГО ШОТА:"
		"DOTA_Tooltip_ability_holdout_endurance_aura_endurance_bonus_movement_speed"                      "БОНУС % ВЫНОСЛИВОСТИ СКОРОСТЬ ДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_active_immolation_tick_time"                                        "ТИКОВАЯ СТАВКА:"
		"DOTA_Tooltip_ability_xhs_vampiric_aura_aura_stickyness"                                          "ЛИПКОСТЬ АУРЫ:"
		"DOTA_Tooltip_ability_holdout_illidan_evasion_transparency_fade"                                  "ПРОЗРАЧНОСТЬ ВЫТЕКАЕТ:"
		"DOTA_Tooltip_ability_holdout_illidan_evasion_radius"                                             "РАДИУС:"
		"DOTA_Tooltip_ability_holdout_metamorphosis_bonus_range"                                          "БОНУСНЫЙ ДИАПАЗОН:"
		"DOTA_Tooltip_ability_holdout_shockwave_end_radius"                                               "КОНЕЧНЫЙ РАДИУС:"
		"DOTA_Tooltip_ability_holdout_shockwave_20_end_radius"                                            "КОНЕЧНЫЙ РАДИУС:"
		"DOTA_Tooltip_ability_holdout_roar_20_radius"                                                     "РАДИУС:"
		"DOTA_Tooltip_ability_holdout_crushing_wave_end_radius"                                           "КОНЕЧНЫЙ РАДИУС:"
		"DOTA_Tooltip_ability_holdout_drain_scepter_cooldown"                                             "ПЕРЕЗАРЯДКА СКИПЕТРА:"
		"DOTA_Tooltip_ability_holdout_mana_shield_absorption_tooltip"                                     "ПОГЛОЩЕНИЕ:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_radius"                                              "РАДИУС:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_collision_radius"                                    "РАДИУС СТОЛКНОВЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_splash_radius"                                       "РАДИУС ВЫПЛЫКА:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_duration"                                            "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_speed"                                               "СКОРОСТЬ:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_machines_per_sec"                                    "МАШИН В СЕК:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_distance"                                            "РАССТОЯНИЕ:"
		"DOTA_Tooltip_ability_holdout_rain_of_ice_explosions_per_tick"                                    "ВЗРЫВОВ ЗА ТИК:"
		"DOTA_Tooltip_ability_holdout_rain_of_ice_radius_explosion"                                       "РАДИУС ВЗРЫВА:"
		"DOTA_Tooltip_ability_holdout_rain_of_ice_duration_total"                                         "ПРОДОЛЖИТЕЛЬНОСТЬ ВСЕГО:"
		"DOTA_Tooltip_ability_xhs_blademaster_mirror_image_outgoing_damage"                               "% ИСХОДЯЩЕГО УРОНА:"
		"DOTA_Tooltip_ability_xhs_blademaster_mirror_image_incoming_damage"                               "% ВХОДЯЩЕГО УРОНА:"
		"DOTA_Tooltip_ability_xhs_blademaster_mirror_image_tooltip_incoming_damage_total_pct"             "%TOOLTIP ВХОДЯЩЕГО УРОНА ВСЕГО:"
		"DOTA_Tooltip_ability_xhs_blademaster_mirror_image_invuln_duration"                               "ПРОДОЛЖИТЕЛЬНОСТЬ ИНВУЛЬНЫ:"
		"DOTA_Tooltip_ability_holdout_inner_fire_duration"                                                "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_holdout_bash_arrows_attack_count"                                           "СЧЕТ АТАКИ:"
		"DOTA_Tooltip_ability_holdout_rocket_hail_time_between_skulls"                                    "ВРЕМЯ МЕЖДУ ЧЕРЕПАМИ:"
		"DOTA_Tooltip_ability_serpent_splash_arrows_Description"                                          "Пассивный.Змеиные брызговые стрелы применяют эффекты, перечисленные ниже."
		"DOTA_Tooltip_ability_serpent_splash_arrows_radius"                                               "РАДИУС:"
		"DOTA_Tooltip_ability_serpent_splash_arrows_cleave_pct"                                           "% РАЗДЕЛЕНИЕ:"
		"DOTA_Tooltip_ability_serpent_splash_arrows_bonus_damage"                                         "ДОПОЛНИТЕЛЬНЫЙ УРОН:"
		"DOTA_Tooltip_ability_holdout_laser_trap_duration"                                                "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_holdout_hex_damage_min"                                                     "МИН. ПОВРЕЖДЕНИЕ:"
		"DOTA_Tooltip_ability_holdout_hex_damage_max"                                                     "МАКСИМАЛЬНЫЙ УРОН:"
		"DOTA_Tooltip_ability_holdout_hex_duration"                                                       "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_holdout_forked_lightning_start_radius"                                      "НАЧАЛЬНЫЙ РАДИУС:"
		"DOTA_Tooltip_ability_holdout_forked_lightning_end_distance"                                      "КОНЕЧНОЕ РАССТОЯНИЕ:"
		"DOTA_Tooltip_ability_holdout_lunar_glaive"                                                       "Лунная глефа"
		"DOTA_Tooltip_ability_holdout_lunar_glaive_Description"                                           "Атаки отражаются между ближайшими врагами, нанося меньший урон с каждым отскоком."
		"DOTA_Tooltip_ability_holdout_lunar_glaive_range"                                                 "ДИАПАЗОН:"
		"DOTA_Tooltip_ability_holdout_lunar_glaive_bounces"                                               "ОТКАЗЫ:"
		"DOTA_Tooltip_ability_holdout_lunar_glaive_damage_reduction_percent"                              "% СНИЖЕНИЯ УРОНА:"
		"DOTA_Tooltip_ability_holdout_moon_explosion_hit_count"                                           "СЧЕТ ХИТОВ:"
		"DOTA_Tooltip_ability_holdout_neutralization_projectile_speed"                                    "СКОРОСТЬ СНАРЯДА:"
		"DOTA_Tooltip_ability_holdout_storm_bolt_bolt_speed"                                              "СКОРОСТЬ БОЛТА:"
		"DOTA_Tooltip_ability_holdout_storm_bolt_vision_radius"                                           "РАДИУС ВИДЕНИЯ:"
		"DOTA_Tooltip_ability_muradin_avatar_bonus_as"                                                    "БОНУС КАК:"
		"DOTA_Tooltip_ability_muradin_avatar_bonus_model_scale"                                           "БОНУСНАЯ МАСШТАБИЯ МОДЕЛИ:"
		"DOTA_Tooltip_ability_holdout_avatar_percentage_over_model_scale"                                 "% ПРОЦЕНТА ОТ МАСШТАБА МОДЕЛИ:"
		"DOTA_Tooltip_ability_holdout_thunder_clap_duration_creeps"                                       "ПРОДОЛЖИТЕЛЬНОСТЬ КРИПОВ:"
		"DOTA_Tooltip_ability_holdout_storm_bolt_20_bolt_speed"                                           "СКОРОСТЬ БОЛТА:"
		"DOTA_Tooltip_ability_holdout_storm_bolt_20_bolt_aoe"                                             "БОЛТ АОЕ:"
		"DOTA_Tooltip_ability_holdout_storm_bolt_20_vision_radius"                                        "РАДИУС ВИДЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_thunder_clap_20_duration_creeps"                                    "ПРОДОЛЖИТЕЛЬНОСТЬ КРИПОВ:"
		"DOTA_Tooltip_ability_holdout_holy_light_blast_speed"                                             "СКОРОСТЬ ВЗРЫВА:"
		"DOTA_Tooltip_ability_holdout_knights_armor_creep_return_percent"                                 "%ПОЛЗКОСТЬ ВОЗВРАТ:"
		"DOTA_Tooltip_ability_holdout_bane_death_coil_projectile_speed"                                   "СКОРОСТЬ СНАРЯДА:"
		"DOTA_Tooltip_ability_holdout_bane_permanent_immolation_tick_time"                                "ТИКОВАЯ СТАВКА:"
		"DOTA_Tooltip_ability_holdout_command_aura_innate_bonus_damage_percentage_self"                   "% БОНУСНОГО УРОНА В ПРОЦЕНТЕ:"
		"DOTA_Tooltip_ability_holdout_stampede_time_between_skulls"                                       "ВРЕМЯ МЕЖДУ ЧЕРЕПАМИ:"
		"DOTA_Tooltip_ability_holdout_stampede_skulls_per_tick"                                           "ЧЕРЕПА НА ТИКИ:"
		"DOTA_Tooltip_ability_holdout_firestorm_wave_duration"                                            "ПРОДОЛЖИТЕЛЬНОСТЬ ВОЛНЫ:"
		"DOTA_Tooltip_ability_holdout_firestorm_wave_interval"                                            "ИНТЕРВАЛ ВОЛН:"
		"DOTA_Tooltip_ability_holdout_firestorm_burn_interval"                                            "ИНТЕРВАЛ ГОРЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_firestorm_first_wave_delay"                                         "ЗАДЕРЖКА ПЕРВОЙ ВОЛНЫ:"
		"DOTA_Tooltip_ability_holdout_war_thunder_stun_duration"                                          "ПРОДОЛЖИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_duration"                                             "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_seek_radius"                                          "ПОИСК РАДИУСА:"
		"DOTA_Tooltip_ability_holdout_doom_projectile_speed"                                              "СКОРОСТЬ СНАРЯДА:"
		"DOTA_Tooltip_ability_doom_golem_hot_skin_radius"                                                 "РАДИУС:"
		"DOTA_Tooltip_ability_doom_golem_hot_skin_dps"                                                    "ДПС:"
		"DOTA_Tooltip_ability_holdout_gust_pool_total_damage_tooltip"                                     "ОБЩИЙ УЩЕРБ:"
		"DOTA_Tooltip_ability_holdout_hurl_bomb_bolt_speed"                                               "СКОРОСТЬ БОЛТА:"
		"DOTA_Tooltip_ability_holdout_hurl_bomb_vision_radius"                                            "РАДИУС ВИДЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_fan_of_rockets_speed"                                               "СКОРОСТЬ:"
		"DOTA_Tooltip_ability_holdout_roar_radius"                                                        "РАДИУС:"
		"DOTA_Tooltip_ability_holdout_roar_bonus_damage"                                                  "ДОПОЛНИТЕЛЬНЫЙ УРОН:"
		"DOTA_Tooltip_ability_holdout_clone_illusion_duration"                                            "ПРОДОЛЖИТЕЛЬНОСТЬ ИЛЛЮЗИИ:"
		"DOTA_Tooltip_ability_holdout_clone_outgoing_damage"                                              "% ИСХОДЯЩЕГО УРОНА:"
		"DOTA_Tooltip_ability_holdout_cluster_rockets_explosions_per_tick"                                "ВЗРЫВОВ ЗА ТИК:"
		"DOTA_Tooltip_ability_holdout_cluster_rockets_radius_explosion"                                   "РАДИУС ВЗРЫВА:"
		"DOTA_Tooltip_ability_holdout_distance_aura_aura_radius"                                          "РАДИУС АУРЫ:"
		"DOTA_Tooltip_ability_holdout_storm_rain_start_radius"                                            "НАЧАЛЬНЫЙ РАДИУС:"
		"DOTA_Tooltip_ability_holdout_storm_rain_end_radius"                                              "КОНЕЧНЫЙ РАДИУС:"
		"DOTA_Tooltip_ability_holdout_rejuvenation_tick_interval"                                         "ТИКОВЫЙ ИНТЕРВАЛ:"
		"DOTA_Tooltip_ability_holdout_monsoon_explosion_radius"                                           "РАДИУС ВЗРЫВА:"
		"DOTA_Tooltip_ability_holdout_monsoon_explosion_interval"                                         "ИНТЕРВАЛ ВЗРЫВА:"
		"DOTA_Tooltip_ability_holdout_monsoon_slow_duration"                                              "ПРОДОЛЖИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_monsoon_explosion_min_dist"                                         "МИН РАССТОЯНИЕ ВЗРЫВА:"
		"DOTA_Tooltip_ability_holdout_monsoon_explosion_max_dist"                                         "МАКС. РАССТОЯНИЕ ВЗРЫВА:"
		"DOTA_Tooltip_ability_holdout_monsoon_small_explosion_radius"                                     "РАДИУС ВЗРЫВА:"
		"DOTA_Tooltip_ability_holdout_monsoon_small_explosion_interval"                                   "ИНТЕРВАЛ ВЗРЫВА:"
		"DOTA_Tooltip_ability_holdout_monsoon_small_slow_duration"                                        "ПРОДОЛЖИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_monsoon_small_explosion_min_dist"                                   "МИН РАССТОЯНИЕ ВЗРЫВА:"
		"DOTA_Tooltip_ability_holdout_monsoon_small_explosion_max_dist"                                   "МАКС. РАССТОЯНИЕ ВЗРЫВА:"
		"DOTA_Tooltip_ability_holdout_permanent_lightning_tick_time"                                      "ТИКОВАЯ СТАВКА:"
		"DOTA_Tooltip_ability_holdout_burning_oil_radius"                                                 "РАДИУС:"
		"DOTA_Tooltip_ability_holdout_burning_oil_first_strike_duration"                                  "ПРОДОЛЖИТЕЛЬНОСТЬ ПЕРВОГО УДАРА:"
		"DOTA_Tooltip_ability_holdout_burning_oil_radius_tooltip"                                         "РАДИУС:"
		"DOTA_Tooltip_ability_holdout_dragon_slave_alt_speed"                                             "СКОРОСТЬ:"
		"DOTA_Tooltip_ability_holdout_firebolt_blast_speed"                                               "СКОРОСТЬ ВЗРЫВА:"
		"DOTA_Tooltip_ability_holdout_phoenix_phoenix_egg_duration"                                       "ПРОДОЛЖИТЕЛЬНОСТЬ ЯЙЦА ФЕНИКСА:"
		"DOTA_Tooltip_ability_holdout_phoenix_spawn_distance"                                             "ДИСТАНЦИЯ ПОЯВЛЕНИЯ:"
		"DOTA_Tooltip_ability_blood_mage_phoenix_reborn_phoenix_damage_per_second"                        "УРОН ФЕНИКСА В СЕКУНДУ:"
		"DOTA_Tooltip_ability_blood_mage_phoenix_reborn_phoenix_egg_duration"                             "ПРОДОЛЖИТЕЛЬНОСТЬ ЯЙЦА ФЕНИКСА:"
		"DOTA_Tooltip_ability_blood_mage_phoenix_reborn_phoenix_immolation_radius"                        "РАДИУС СЖАРА ФЕНИКСА:"
		"DOTA_Tooltip_ability_blood_mage_phoenix_egg"                                                     "Яйцо Мага Крови Феникса"
		"DOTA_Tooltip_ability_blood_mage_phoenix_egg_Description"                                         "Трансформируется в яйцо феникса.Если яйцо выживает, заклинатель возвращается в бой."
		"DOTA_Tooltip_ability_holdout_rain_of_fire_radius_explosion"                                      "РАДИУС ВЗРЫВА:"
		"DOTA_Tooltip_ability_holdout_rain_of_fire_duration_total"                                        "ПРОДОЛЖИТЕЛЬНОСТЬ ВСЕГО:"
		"DOTA_Tooltip_ability_holdout_blizzard_wave_interval"                                             "ИНТЕРВАЛ ВОЛН:"
		"DOTA_Tooltip_ability_holdout_blizzard_wps_thinker"                                               "WPS-мыслитель:"
		"DOTA_Tooltip_ability_holdout_frostbolt_blast_speed"                                              "СКОРОСТЬ ВЗРЫВА:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_index"                                         "ИНДЕКС ВОЛКА:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_1_count"                                       "ВОЛК 1 СЧЕТ:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_2_count"                                       "ВОЛК 2 СЧЕТ:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_3_count"                                       "ВОЛК 3 СЧЕТ:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_4_count"                                       "ВОЛК 4 СЧЕТ:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_spawn_distance"                                     "ДИСТАНЦИЯ ПОЯВЛЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_anubarak_claw_bonus_movement_speed_percentage"                      "%БОНУСНЫЙ ПРОЦЕНТ СКОРОСТИ ДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_spirit_speed"                                          "СКОРОСТЬ ДУХА:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_max_distance"                                          "МАКС. РАССТОЯНИЕ:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_give_up_distance"                                      "Откажитесь от расстояния:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_min_damage"                                            "МИН. УЩЕРБ:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_max_damage"                                            "МАКСИМАЛЬНЫЙ УРОН:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_delay_between_spirits"                                 "ЗАДЕРЖКА МЕЖДУ ДУХАМИ:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_min_time_between_attacks"                              "МИН. ВРЕМЯ МЕЖДУ АТАКИМИ:"
		"DOTA_Tooltip_ability_rifleman_assassinate_projectile_speed"                                      "СКОРОСТЬ СНАРЯДА:"
		"DOTA_Tooltip_ability_rifleman_assassinate_total_cast_time_tooltip"                               "ОБЩЕЕ ВРЕМЯ ПРИМЕНЕНИЯ:"
		"DOTA_Tooltip_ability_rifleman_assassinate_aim_duration"                                          "ПРОДОЛЖИТЕЛЬНОСТЬ ЦЕЛИ:"
		"DOTA_Tooltip_ability_rifleman_assassinate_scatter_width"                                         "ШИРИНА РАССЕЯНИЯ:"
		"DOTA_Tooltip_ability_rifleman_assassinate_stun_duration"                                         "ПРОДОЛЖИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_dark_pact_heal"                                                     "ИСЦЕЛЕНИЕ:"
		"DOTA_Tooltip_ability_holdout_sea_dragon_form_corrosive_breath_damage"                            "КОРРОЗИОННОЕ ПОВРЕЖДЕНИЕ ДЫХАНИЯ:"
		"DOTA_Tooltip_ability_holdout_sea_dragon_form_corrosive_breath_duration"                          "ПРОДОЛЖИТЕЛЬНОСТЬ КОРРОЗИОННОГО ДЫХАНИЯ:"
		"DOTA_Tooltip_ability_holdout_rejuvenation_alt_heal_per_sec_creep_pct"                            "%ЛЕЧЕНИЕ В СЕК. КРИП:"
		"DOTA_Tooltip_ability_holdout_mark_of_the_claw_cleave_start"                                      "%РАСКРЫТИЕ НАЧАЛА:"
		"DOTA_Tooltip_ability_holdout_mark_of_the_claw_cleave_end"                                        "% ОТРЕЗАТЬ КОНЕЦ:"
		"DOTA_Tooltip_ability_holdout_strength_of_the_wild_bonus_damage_percentage"                       "% БОНУСНОГО ПРОЦЕНТА УРОНА:"
		"DOTA_Tooltip_ability_imba_malfurion_living_tower_duration"                                       "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_holdout_slow_pool_total_damage_tooltip"                                     "ОБЩИЙ УЩЕРБ:"
		"DOTA_Tooltip_ability_holdout_war_club_bonus_range"                                               "БОНУСНЫЙ ДИАПАЗОН:"
		"DOTA_Tooltip_ability_holdout_war_club_20_bonus_range"                                            "БОНУСНЫЙ ДИАПАЗОН:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_min_speed"                                               "МИН. СКОРОСТЬ:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_buff_radius"                                             "РАДИУС УСИЛЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_buff_duration"                                           "ПРОДОЛЖИТЕЛЬНОСТЬ УСИЛЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_max_time"                                                "МАКС. ВРЕМЯ:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_base_height"                                             "ВЫСОТА БАЗЫ:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_height_step"                                             "СТУПЕНЬ ВЫСОТЫ:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_max_height"                                              "МАКС. ВЫСОТА:"
		"DOTA_Tooltip_ability_holdout_second_wind_regen_cooldown"                                         "ПЕРЕЗАРЯДКА РЕГЕНА:"
		"DOTA_Tooltip_ability_holdout_culling_blade_leap_speed"                                           "СКОРОСТЬ СКАЧКА:"
