"lang"
{
	"Language"	"Vietnamese"
		"DOTA_Tooltip_ability_xhs_vampiric_aura_aura_stickyness"                                          "ĐỘ DÍNH AURA:"
		"DOTA_Tooltip_ability_holdout_illidan_evasion_transparency_fade"                                  "MINH BẠCH MỜ:"
		"DOTA_Tooltip_ability_holdout_illidan_evasion_radius"                                             "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_metamorphosis_bonus_range"                                          "PHẠM VI TIỀN THƯỞNG:"
		"DOTA_Tooltip_ability_holdout_shockwave_end_radius"                                               "BÁNH GIÁ KẾT THÚC:"
		"DOTA_Tooltip_ability_holdout_shockwave_20_end_radius"                                            "BÁNH GIÁ KẾT THÚC:"
		"DOTA_Tooltip_ability_holdout_roar_20_radius"                                                     "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_crushing_wave_end_radius"                                           "BÁNH GIÁ KẾT THÚC:"
		"DOTA_Tooltip_ability_holdout_drain_scepter_cooldown"                                             "Thời gian hồi của SCEPTER:"
		"DOTA_Tooltip_ability_holdout_mana_shield_absorption_tooltip"                                     "HẤP DẪN:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_radius"                                              "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_collision_radius"                                    "Bán kính va chạm:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_splash_radius"                                       "BÁN KÍNH TUYỆT VỜI:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_duration"                                            "THỜI GIAN:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_speed"                                               "TỐC ĐỘ:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_machines_per_sec"                                    "MÁY MỖI GIÂY:"
		"DOTA_Tooltip_ability_holdout_elemental_wave_distance"                                            "KHOẢNG CÁCH:"
		"DOTA_Tooltip_ability_holdout_rain_of_ice_explosions_per_tick"                                    "Bùng nổ mỗi tích tắc:"
		"DOTA_Tooltip_ability_holdout_rain_of_ice_radius_explosion"                                       "Bùng nổ bán kính:"
		"DOTA_Tooltip_ability_holdout_rain_of_ice_duration_total"                                         "TỔNG THỜI GIAN:"
		"DOTA_Tooltip_ability_xhs_blademaster_mirror_image_outgoing_damage"                               "% THIỆT HẠI ĐI:"
		"DOTA_Tooltip_ability_xhs_blademaster_mirror_image_incoming_damage"                               "% THIỆT HẠI ĐẾN:"
		"DOTA_Tooltip_ability_xhs_blademaster_mirror_image_tooltip_incoming_damage_total_pct"             "TỔNG SỐ THIỆT HẠI ĐẾN %TOOLTIP:"
		"DOTA_Tooltip_ability_xhs_blademaster_mirror_image_invuln_duration"                               "THỜI GIAN TUYỆT VỜI:"
		"DOTA_Tooltip_ability_holdout_inner_fire_duration"                                                "THỜI GIAN:"
		"DOTA_Tooltip_ability_holdout_bash_arrows_attack_count"                                           "SỐ TẤN CÔNG:"
		"DOTA_Tooltip_ability_holdout_rocket_hail_time_between_skulls"                                    "THỜI GIAN GIỮA CÁC Sọ:"
		"DOTA_Tooltip_ability_serpent_splash_arrows_Description"                                          "Bị động.Serpent Splash Arrows áp dụng các hiệu ứng được liệt kê bên dưới."
		"DOTA_Tooltip_ability_serpent_splash_arrows_radius"                                               "BÁN KÍNH:"
		"DOTA_Tooltip_ability_serpent_splash_arrows_cleave_pct"                                           "%TẮT:"
		"DOTA_Tooltip_ability_serpent_splash_arrows_bonus_damage"                                         "SÁT THƯƠNG CỘNG THÊM:"
		"DOTA_Tooltip_ability_holdout_laser_trap_duration"                                                "THỜI GIAN:"
		"DOTA_Tooltip_ability_holdout_hex_damage_min"                                                     "THIỆT HẠI TỐI THIỂU:"
		"DOTA_Tooltip_ability_holdout_hex_damage_max"                                                     "SÁT THƯƠNG TỐI ĐA:"
		"DOTA_Tooltip_ability_holdout_hex_duration"                                                       "THỜI GIAN:"
		"DOTA_Tooltip_ability_holdout_forked_lightning_start_radius"                                      "BẮT ĐẦU BẮT ĐẦU:"
		"DOTA_Tooltip_ability_holdout_forked_lightning_end_distance"                                      "KHOẢNG CÁCH CUỐI:"
		"DOTA_Tooltip_ability_holdout_lunar_glaive"                                                       "Glaive mặt trăng"
		"DOTA_Tooltip_ability_holdout_lunar_glaive_Description"                                           "Các đòn tấn công nảy giữa những kẻ địch ở gần, gây sát thương giảm dần với mỗi lần nảy."
		"DOTA_Tooltip_ability_holdout_lunar_glaive_range"                                                 "PHẠM VI:"
		"DOTA_Tooltip_ability_holdout_lunar_glaive_bounces"                                               "TRẢ LẠI:"
		"DOTA_Tooltip_ability_holdout_lunar_glaive_damage_reduction_percent"                              "GIẢM % THIỆT HẠI:"
		"DOTA_Tooltip_ability_holdout_moon_explosion_hit_count"                                           "ĐẾM LẦN:"
		"DOTA_Tooltip_ability_holdout_neutralization_projectile_speed"                                    "TỐC ĐỘ ĐẠN:"
		"DOTA_Tooltip_ability_holdout_storm_bolt_bolt_speed"                                              "TỐC ĐỘ BOLT:"
		"DOTA_Tooltip_ability_holdout_storm_bolt_vision_radius"                                           "BÁNH TẦM TẦM NHÌN:"
		"DOTA_Tooltip_ability_muradin_avatar_bonus_as"                                                    "TIỀN THƯỞNG NHƯ:"
		"DOTA_Tooltip_ability_muradin_avatar_bonus_model_scale"                                           "QUY MÔ MÔ HÌNH THƯỞNG:"
		"DOTA_Tooltip_ability_holdout_avatar_percentage_over_model_scale"                                 "% PHẦN TRĂM TRÊN QUY MÔ MÔ HÌNH:"
		"DOTA_Tooltip_ability_holdout_thunder_clap_duration_creeps"                                       "THỜI GIAN LÒNG:"
		"DOTA_Tooltip_ability_holdout_storm_bolt_20_bolt_speed"                                           "TỐC ĐỘ BOLT:"
		"DOTA_Tooltip_ability_holdout_storm_bolt_20_bolt_aoe"                                             "BU LÔNG AOE:"
		"DOTA_Tooltip_ability_holdout_storm_bolt_20_vision_radius"                                        "BÁNH TẦM TẦM NHÌN:"
		"DOTA_Tooltip_ability_holdout_thunder_clap_20_duration_creeps"                                    "THỜI GIAN LÒNG:"
		"DOTA_Tooltip_ability_holdout_holy_light_blast_speed"                                             "TỐC ĐỘ NỔ:"
		"DOTA_Tooltip_ability_holdout_knights_armor_creep_return_percent"                                 "TRẢ LẠI %CREEP:"
		"DOTA_Tooltip_ability_holdout_bane_death_coil_projectile_speed"                                   "TỐC ĐỘ ĐẠN:"
		"DOTA_Tooltip_ability_holdout_bane_permanent_immolation_tick_time"                                "TỶ LỆ TICK:"
		"DOTA_Tooltip_ability_holdout_command_aura_innate_bonus_damage_percentage_self"                   "%THƯỞNG THƯỞNG PHẦN TRĂM THIỆT HẠI:"
		"DOTA_Tooltip_ability_holdout_stampede_time_between_skulls"                                       "THỜI GIAN GIỮA CÁC Sọ:"
		"DOTA_Tooltip_ability_holdout_stampede_skulls_per_tick"                                           "Sọ MỖI TÚC:"
		"DOTA_Tooltip_ability_holdout_firestorm_wave_duration"                                            "THỜI GIAN SÓNG:"
		"DOTA_Tooltip_ability_holdout_firestorm_wave_interval"                                            "KHOẢNG SÓNG:"
		"DOTA_Tooltip_ability_holdout_firestorm_burn_interval"                                            "KHOẢNG CÁCH ĐỐT:"
		"DOTA_Tooltip_ability_holdout_firestorm_first_wave_delay"                                         "TRÌ HOÃN SÓNG ĐẦU TIÊN:"
		"DOTA_Tooltip_ability_holdout_war_thunder_stun_duration"                                          "THỜI GIAN CHOÁNG:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_duration"                                             "THỜI GIAN:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_seek_radius"                                          "TÌM KIẾM BÁNH GIÁ:"
		"DOTA_Tooltip_ability_holdout_doom_projectile_speed"                                              "TỐC ĐỘ ĐẠN:"
		"DOTA_Tooltip_ability_doom_golem_hot_skin_radius"                                                 "BÁN KÍNH:"
		"DOTA_Tooltip_ability_doom_golem_hot_skin_dps"                                                    "DPS:"
		"DOTA_Tooltip_ability_holdout_gust_pool_total_damage_tooltip"                                     "TỔNG THIỆT HẠI:"
		"DOTA_Tooltip_ability_holdout_hurl_bomb_bolt_speed"                                               "TỐC ĐỘ BOLT:"
		"DOTA_Tooltip_ability_holdout_hurl_bomb_vision_radius"                                            "BÁNH TẦM TẦM NHÌN:"
		"DOTA_Tooltip_ability_holdout_fan_of_rockets_speed"                                               "TỐC ĐỘ:"
		"DOTA_Tooltip_ability_holdout_roar_radius"                                                        "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_roar_bonus_damage"                                                  "SÁT THƯƠNG CỘNG THÊM:"
		"DOTA_Tooltip_ability_holdout_clone_illusion_duration"                                            "THỜI GIAN ẢNH HƯỞNG:"
		"DOTA_Tooltip_ability_holdout_clone_outgoing_damage"                                              "% THIỆT HẠI ĐI:"
		"DOTA_Tooltip_ability_holdout_cluster_rockets_explosions_per_tick"                                "Bùng nổ mỗi tích tắc:"
		"DOTA_Tooltip_ability_holdout_cluster_rockets_radius_explosion"                                   "Bùng nổ bán kính:"
		"DOTA_Tooltip_ability_holdout_distance_aura_aura_radius"                                          "Bán kính hào quang:"
		"DOTA_Tooltip_ability_holdout_storm_rain_start_radius"                                            "BẮT ĐẦU BẮT ĐẦU:"
		"DOTA_Tooltip_ability_holdout_storm_rain_end_radius"                                              "BÁNH GIÁ KẾT THÚC:"
		"DOTA_Tooltip_ability_holdout_rejuvenation_tick_interval"                                         "KHOẢNG CÁCH:"
		"DOTA_Tooltip_ability_holdout_monsoon_explosion_radius"                                           "BÁN KÍN NỔ:"
		"DOTA_Tooltip_ability_holdout_monsoon_explosion_interval"                                         "KHOẢNG CÁCH NỔ:"
		"DOTA_Tooltip_ability_holdout_monsoon_slow_duration"                                              "THỜI GIAN CHẬM:"
		"DOTA_Tooltip_ability_holdout_monsoon_explosion_min_dist"                                         "QUẬN NỔ TỐI THIỂU:"
		"DOTA_Tooltip_ability_holdout_monsoon_explosion_max_dist"                                         "KHÍ NỔ TỐI ĐA:"
		"DOTA_Tooltip_ability_holdout_monsoon_small_explosion_radius"                                     "BÁN KÍN NỔ:"
		"DOTA_Tooltip_ability_holdout_monsoon_small_explosion_interval"                                   "KHOẢNG CÁCH NỔ:"
		"DOTA_Tooltip_ability_holdout_monsoon_small_slow_duration"                                        "THỜI GIAN CHẬM:"
		"DOTA_Tooltip_ability_holdout_monsoon_small_explosion_min_dist"                                   "QUẬN NỔ TỐI THIỂU:"
		"DOTA_Tooltip_ability_holdout_monsoon_small_explosion_max_dist"                                   "KHÍ NỔ TỐI ĐA:"
		"DOTA_Tooltip_ability_holdout_permanent_lightning_tick_time"                                      "TỶ LỆ TICK:"
		"DOTA_Tooltip_ability_holdout_burning_oil_radius"                                                 "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_burning_oil_first_strike_duration"                                  "THỜI GIAN ĐÁNH GIÁ ĐẦU TIÊN:"
		"DOTA_Tooltip_ability_holdout_burning_oil_radius_tooltip"                                         "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_dragon_slave_alt_speed"                                             "TỐC ĐỘ:"
		"DOTA_Tooltip_ability_holdout_firebolt_blast_speed"                                               "TỐC ĐỘ NỔ:"
		"DOTA_Tooltip_ability_holdout_phoenix_phoenix_egg_duration"                                       "THỜI GIAN TRỨNG PHƯỢNG HOÀNG:"
		"DOTA_Tooltip_ability_holdout_phoenix_spawn_distance"                                             "KHOẢNG CÁCH ĐÁNH GIÁ:"
		"DOTA_Tooltip_ability_blood_mage_phoenix_reborn_phoenix_damage_per_second"                        "SÁT THƯƠNG PHOENIX MỖI GIÂY:"
		"DOTA_Tooltip_ability_blood_mage_phoenix_reborn_phoenix_egg_duration"                             "THỜI GIAN TRỨNG PHƯỢNG HOÀNG:"
		"DOTA_Tooltip_ability_blood_mage_phoenix_reborn_phoenix_immolation_radius"                        "BÁN KÍNH XÚC PHOENIX:"
		"DOTA_Tooltip_ability_blood_mage_phoenix_egg"                                                     "Trứng phượng hoàng máu"
		"DOTA_Tooltip_ability_blood_mage_phoenix_egg_Description"                                         "Biến thành trứng phượng.Nếu quả trứng sống sót, người làm phép sẽ quay lại trận chiến."
		"DOTA_Tooltip_ability_holdout_rain_of_fire_radius_explosion"                                      "Bùng nổ bán kính:"
		"DOTA_Tooltip_ability_holdout_rain_of_fire_duration_total"                                        "TỔNG THỜI GIAN:"
		"DOTA_Tooltip_ability_holdout_blizzard_wave_interval"                                             "KHOẢNG SÓNG:"
		"DOTA_Tooltip_ability_holdout_blizzard_wps_thinker"                                               "NGƯỜI TƯ TƯỞNG WPS:"
		"DOTA_Tooltip_ability_holdout_frostbolt_blast_speed"                                              "TỐC ĐỘ NỔ:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_index"                                         "CHỈ SỐ SÓI:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_1_count"                                       "SÓI 1 ĐẾM:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_2_count"                                       "SÓI 2 ĐẾM:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_3_count"                                       "SÓI 3 ĐẾM:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_wolf_4_count"                                       "SÓI 4 ĐẾM:"
		"DOTA_Tooltip_ability_holdout_carrion_beetles_spawn_distance"                                     "KHOẢNG CÁCH ĐÁNH GIÁ:"
		"DOTA_Tooltip_ability_holdout_anubarak_claw_bonus_movement_speed_percentage"                      "%THƯỞNG TỐC ĐỘ DI CHUYỂN:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_spirit_speed"                                          "TỐC ĐỘ TINH THẦN:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_max_distance"                                          "KHOẢNG CÁCH TỐI ĐA:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_give_up_distance"                                      "BỎ KHOẢNG CÁCH:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_min_damage"                                            "THIỆT HẠI TỐI THIỂU:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_max_damage"                                            "SÁT THƯƠNG TỐI ĐA:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_delay_between_spirits"                                 "TRÌ HOÃN GIỮA TINH THẦN:"
		"DOTA_Tooltip_ability_holdout_locust_swarm_min_time_between_attacks"                              "THỜI GIAN TỐI THIỂU GIỮA CÁC TẤN CÔNG:"
		"DOTA_Tooltip_ability_rifleman_assassinate_projectile_speed"                                      "TỐC ĐỘ ĐẠN:"
		"DOTA_Tooltip_ability_rifleman_assassinate_total_cast_time_tooltip"                               "TỔNG THỜI GIAN DIỄN VIÊN:"
		"DOTA_Tooltip_ability_rifleman_assassinate_aim_duration"                                          "THỜI GIAN MỤC TIÊU:"
		"DOTA_Tooltip_ability_rifleman_assassinate_scatter_width"                                         "CHIỀU RỘNG PHẢN XẠ:"
		"DOTA_Tooltip_ability_rifleman_assassinate_stun_duration"                                         "THỜI GIAN CHOÁNG:"
		"DOTA_Tooltip_ability_holdout_dark_pact_heal"                                                     "CHỮA LÀNH:"
		"DOTA_Tooltip_ability_holdout_sea_dragon_form_corrosive_breath_damage"                            "TỔN THƯƠNG HƠI THỞ ĂN MÒN:"
		"DOTA_Tooltip_ability_holdout_sea_dragon_form_corrosive_breath_duration"                          "THỜI GIAN HƠI THỞ ĂN MÒN:"
		"DOTA_Tooltip_ability_holdout_rejuvenation_alt_heal_per_sec_creep_pct"                            "%Hồi phục MỖI GIÂY CREEP:"
		"DOTA_Tooltip_ability_holdout_mark_of_the_claw_cleave_start"                                      "% CLEAVE BẮT ĐẦU:"
		"DOTA_Tooltip_ability_holdout_mark_of_the_claw_cleave_end"                                        "% CLEAVE KẾT THÚC:"
		"DOTA_Tooltip_ability_holdout_strength_of_the_wild_bonus_damage_percentage"                       "%Tỷ lệ THƯỞNG THƯỞNG THIỆT HẠI:"
		"DOTA_Tooltip_ability_imba_malfurion_living_tower_duration"                                       "THỜI GIAN:"
		"DOTA_Tooltip_ability_holdout_slow_pool_total_damage_tooltip"                                     "TỔNG THIỆT HẠI:"
		"DOTA_Tooltip_ability_holdout_war_club_bonus_range"                                               "PHẠM VI TIỀN THƯỞNG:"
		"DOTA_Tooltip_ability_holdout_war_club_20_bonus_range"                                            "PHẠM VI TIỀN THƯỞNG:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_min_speed"                                               "TỐC ĐỘ TỐI THIỂU:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_buff_radius"                                             "BÁN KÍNH TĂNG CƯỜNG:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_buff_duration"                                           "THỜI GIAN Buff:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_max_time"                                                "THỜI GIAN TỐI ĐA:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_base_height"                                             "CHIỀU CAO CƠ SỞ:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_height_step"                                             "BƯỚC CHIỀU CAO:"
		"DOTA_Tooltip_ability_holdout_dwarf_toss_max_height"                                              "CHIỀU CAO TỐI ĐA:"
		"DOTA_Tooltip_ability_holdout_second_wind_regen_cooldown"                                         "HỒI CHIÊU REGEN:"
		"DOTA_Tooltip_ability_holdout_culling_blade_leap_speed"                                           "TỐC ĐỘ BƯỚC:"
		"DOTA_Tooltip_ability_holdout_culling_blade_leap_acceleration"                                    "TĂNG TỐC BƯỚC:"
		"DOTA_Tooltip_ability_holdout_culling_blade_leap_radius"                                          "Bán kính bước nhảy vọt:"
		"DOTA_Tooltip_ability_holdout_culling_blade_cooldown_scepter"                                     "THỜI GIAN HỒI CHIÊU:"
		"DOTA_Tooltip_ability_holdout_tornado_tempest_vision_distance"                                    "KHOẢNG CÁCH TẦM NHÌN:"
		"DOTA_Tooltip_ability_holdout_tornado_tempest_end_vision_duration"                                "KẾT THÚC THỜI GIAN TẦM NHÌN:"
		"DOTA_Tooltip_ability_holdout_tornado_tempest_cyclone_min_height"                                 "CHIỀU CAO LUYỆN TỐI THIỂU:"
		"DOTA_Tooltip_ability_holdout_tornado_tempest_cyclone_initial_height"                             "CHIỀU CAO BAN ĐẦU CỦA XÍCH:"
		"DOTA_Tooltip_ability_holdout_tornado_tempest_cyclone_max_height"                                 "CHIỀU CAO LỚP TỐI ĐA:"
		"DOTA_Tooltip_ability_holdout_acid_skin_Description"                                              "Bị động.Acid Skin áp dụng các tác dụng được liệt kê dưới đây."
		"DOTA_Tooltip_ability_holdout_acid_skin_max_range_tooltip"                                        "PHẠM VI TỐI ĐA:"
		"DOTA_Tooltip_ability_holdout_shadow_bolt_blast_speed"                                            "TỐC ĐỘ NỔ:"
		"DOTA_Tooltip_ability_holdout_consuming_flame_tick_time"                                          "TỶ LỆ TICK:"
		"DOTA_Tooltip_ability_holdout_bristleback_side_angle"                                             "GÓC BÊN:"
		"DOTA_Tooltip_ability_holdout_bristleback_back_angle"                                             "GÓC TRỞ LẠI:"
		"DOTA_Tooltip_ability_imba_sven_storm_bolt_speed"                                                 "TỐC ĐỘ:"
		"DOTA_Tooltip_ability_imba_sven_storm_bolt_vision_radius"                                         "BÁNH TẦM TẦM NHÌN:"
