// Canonical Supporter Pass 2026 UI and reward localization.
// Generated mechanically from the reviewed 2026 localization snapshot.
"xhs_sp_title" "Supporter Pass"
"xhs_sp_premium_cta_copy" "Unlock 50 additional rewards and permanent XP boosts."
"xhs_sp_premium_cta_button" "Become a Supporter"
"xhs_sp_free_track" "Free Track"
"xhs_sp_supporter_track" "Supporter Track"
"xhs_sp_reward" "Reward"
"xhs_sp_legacy_reward" "Legacy Reward"
"xhs_sp_claim" "Claim"
"xhs_sp_claimed" "Claimed"
"xhs_sp_unlocked" "Unlocked"
"xhs_sp_locked" "Locked"
"xhs_sp_pending" "Pending..."
"xhs_sp_no_rewards_track" "No rewards configured for this track yet."
"xhs_sp_shop_item" "Shop Item"
"xhs_sp_common" "Common"
"xhs_sp_uncommon" "Uncommon"
"xhs_sp_rare" "Rare"
"xhs_sp_mythical" "Mythical"
"xhs_sp_legendary" "Legendary"
"xhs_sp_immortal" "Immortal"
"xhs_sp_arcana" "Arcana"
"xhs_sp_equipped" "Equipped"
"xhs_sp_equip" "Equip"
"xhs_sp_buy" "Buy"
"xhs_sp_shop_unavailable" "Shop unavailable"
"xhs_sp_shop_unavailable_body" "The Fragment Shop catalog has not been sent by the backend yet."
"xhs_sp_no_shop_items" "No shop items"
"xhs_sp_no_shop_items_body" "No Fragment Shop items match this category."
"xhs_sp_filter_all" "All"
"xhs_sp_no_cosmetics" "No unlocked cosmetics"
"xhs_sp_no_cosmetics_body" "Unlock cosmetics through the Supporter Pass or Fragment Shop, then equip them here."
"xhs_sp_no_armory_items" "No armory items"
"xhs_sp_no_armory_items_body" "No unlocked cosmetics match this category."
"xhs_sp_type_teleport" "Teleport FX"
"xhs_sp_type_tome" "Ascension FX"
"xhs_sp_type_kill" "Kill FX"
"xhs_sp_type_emblem" "Emblem"
"xhs_sp_type_companion" "Companion"
"xhs_sp_type_effigy" "Effigy"
"xhs_sp_type_potion" "Potion FX"
"xhs_sp_type_rebirth" "Rebirth FX"
"xhs_sp_type_attack_lifesteal" "Attack Lifesteal"
"xhs_sp_type_spell_lifesteal" "Spell Lifesteal"
"xhs_sp_type_regen_aura" "Regen Aura"
"xhs_sp_type_immolation" "Immolation"
"xhs_sp_type_high_five" "High Five"
"xhs_sp_type_title" "Title"
"xhs_sp_type_fragments" "Fragments"
"xhs_sp_type_bundle" "Bundle"
"xhs_sp_type_cosmetic" "Cosmetic"
"xhs_sp_composition_potion" "Health + Mana + Light"
"xhs_sp_composition_immolation" "Owner + Targets"
"xhs_sp_composition_high_five" "Overhead + Travel + Impact"
"xhs_sp_track_reward_count" "{track} · {count}/{total} rewards"
"xhs_sp_accept" "Accept"
"xhs_sp_setting_tag" "Supporter tag"
"xhs_sp_setting_tag_desc" "Display your supporter badge above your hero health bar."
"xhs_sp_setting_cosmetics" "Cosmetic rewards"
"xhs_sp_setting_cosmetics_desc" "Enable or disable equipped pass cosmetics in-game."
"xhs_sp_setting_xp" "XP visibility"
"xhs_sp_setting_xp_desc" "Show seasonal and account XP in social UI surfaces."
"xhs_sp_setting_winrate" "Winrate visibility"
"xhs_sp_setting_winrate_desc" "Show your seasonal winrate in public profile surfaces."
"xhs_sp_disable_companion_desc" "Remove your current supporter companion for this match."
"xhs_sp_disable" "Disable"
"xhs_sp_companion_disabled" "Companion disabled."
"xhs_sp_settings_timeout" "Settings save timed out."
"xhs_sp_purchase_pending" "Supporter Pass purchase pending..."
"xhs_sp_already_owned" "Already owned."
"xhs_sp_purchase_complete" "Purchase complete."
"xhs_sp_purchase_failed" "Purchase failed."
"xhs_sp_buy_another" "Buy another"
"xhs_sp_purchase_duplicate_warning" "You already own this item. Click Buy again to confirm another giftable copy."
"xhs_sp_bundle_duplicate_warning" "You already own part of this bundle. Its full price will be charged and every included item will be granted again. Click Buy again to confirm."
"xhs_sp_duplicate_purchase_complete" "Purchase complete. Another giftable copy was added."
"xhs_sp_open_bundle" "Open bundle"
"xhs_sp_bundle_opened" "Bundle opened. Its items are now in your Armory."
"xhs_sp_bundle_open_failed" "Bundle opening failed."
"xhs_sp_reward_already_claimed" "Reward already claimed."
"xhs_sp_reward_claimed" "Reward claimed."
"xhs_sp_reward_claim_failed" "Reward claim failed."
"xhs_sp_cosmetic_equipped" "Cosmetic equipped."
"xhs_sp_equip_failed" "Equip failed."
"xhs_sp_cosmetic_unequipped" "Cosmetic unequipped."
"xhs_sp_unequip_failed" "Unequip failed."
"xhs_sp_settings_failed" "Settings save failed."
"xhs_sp_error_companion_unavailable" "Companion is not available."
"xhs_sp_error_effigy_unavailable" "Effigy is not available."
"xhs_sp_error_shop_unavailable" "Fragment Shop is unavailable."
"xhs_sp_error_shop_item_invalid" "Shop item is invalid."
"xhs_sp_error_shop_item_inactive" "Shop item is not in the active rotation."
"xhs_sp_error_reward_backend_unavailable" "Reward service is unavailable."
"xhs_sp_error_reward_invalid" "Reward is invalid."
"xhs_sp_error_reward_not_claimable" "Reward is not claimable."
"xhs_sp_error_armory_item_invalid" "Armory item is invalid."
"xhs_sp_error_armory_item_not_owned" "Armory item is not owned."
"xhs_sp_error_armory_slot_mismatch" "Armory slot does not match this item."
"xhs_sp_error_armory_tier_insufficient" "Your Supporter tier is too low for this item."
"xhs_sp_error_armory_backend_unavailable" "Armory service is unavailable."
"xhs_sp_topbar_tooltip" "Open Supporter Pass"
"xhs_sp_topbar_cta_title" "Supporter Pass is live"
"xhs_sp_topbar_cta_body" "Unlock rewards and equip your supporter cosmetics."
"xhs_sp_topbar_cta_action" "Explore now"
"xhs_sp_settings_saved" "Settings saved."
"xhs_sp_dev_stop_test" "Stop Test"
"xhs_sp_dev_claim_local" "Claim locally"
"xhs_sp_dev_claimed_local" "Claimed locally"
"xhs_sp_dev_reward_claimed_local" "Reward claimed locally · backend unchanged."
"xhs_sp_dev_test_teleport" "Test TP"
"xhs_sp_dev_test_fx" "Test FX"
"xhs_sp_dev_test_kill" "Test Kill"
"xhs_sp_dev_test_potion" "Test Potion"
"xhs_sp_dev_test_rebirth" "Test Rebirth"
"xhs_sp_dev_test_attack_lifesteal" "Test Attack Steal"
"xhs_sp_dev_test_spell_lifesteal" "Test Spell Steal"
"xhs_sp_dev_test_high_five" "Test High Five"
"xhs_sp_dev_test_preview" "Preview"
"xhs_sp_dev_test_active_button" "Active"
"xhs_sp_dev_test_pending_button" "Testing..."
"xhs_sp_dev_test_unsupported" "Unsupported"
"xhs_sp_dev_test_ready" "Ready to test"
"xhs_sp_dev_test_type_unsupported" "Unsupported reward type"
"xhs_sp_dev_test_pending" "Test request pending"
"xhs_sp_dev_test_stopping" "Restoring real loadout"
"xhs_sp_dev_test_active" "Temporary reward active"
"xhs_sp_dev_test_success" "Reward test complete."
"xhs_sp_dev_test_stopped" "Temporary reward stopped."
"xhs_sp_dev_test_error_forbidden" "Reward tests require a developer account in Workshop Tools."
"xhs_sp_dev_test_error_rate" "Please wait before starting another reward test."
"xhs_sp_dev_test_error_busy" "Wait for the current reward test to finish."
"xhs_sp_dev_test_error_item" "Reward item or slot is invalid."
"xhs_sp_dev_test_error_hero" "No valid developer hero is available."
"xhs_sp_dev_test_error_asset" "The reward has no valid runtime asset."
"xhs_sp_dev_test_error_respawn" "The allied respawn point is unavailable."
"xhs_sp_dev_test_error_target" "The Kill FX test target could not be created."
"xhs_sp_dev_test_error_type" "This reward type cannot be tested."
"xhs_sp_dev_test_error_timeout" "The test request timed out."
"xhs_sp_tier_1_label" "Tier 1"
"xhs_sp_tier_2_label" "Tier 2"
"xhs_sp_tier_3_label" "Tier 3"
"xhs_sp_tier_4_label" "Tier 4"
"xhs_sp_tier_5_label" "Tier 5"
"xhs_sp_tier_1_name" "Donator"
"xhs_sp_tier_2_name" "Golden Donator"
"xhs_sp_tier_3_name" "Ember Donator"
"xhs_sp_tier_4_name" "Stoneguard Donator"
"xhs_sp_tier_5_name" "Earthwarden Donator"
"xhs_sp_tier_1_description" "Start supporting XHS with monthly fragments, Emerald identity, a Discord role, visible profile prestige, and 2 votes in game setup."
"xhs_sp_tier_2_description" "Upgrade to Solar Gold for a stronger monthly fragment pack, faster progression, 3 setup votes, and all Tier 1 benefits."
"xhs_sp_tier_3_description" "Stand out with Ember Red styling, 900 monthly fragments, 4 setup votes, and a sharper supporter presence in every XHS space."
"xhs_sp_tier_4_description" "Lock in Storm Blue status with the top XP boost, 1800 monthly fragments, 5 setup votes, and a premium supporter look."
"xhs_sp_tier_5_description" "The prestige tier for core supporters: Amethyst identity, top XP boost, 5 setup votes, and the full supporter stack."
"xhs_sp_perk_150_fragments" "150 fragments"
"xhs_sp_perk_400_fragments" "400 fragments"
"xhs_sp_perk_900_fragments" "900 fragments"
"xhs_sp_perk_1800_fragments" "1800 fragments"
"xhs_sp_perk_10_xp" "+10% XP"
"xhs_sp_perk_20_xp" "+20% XP"
"xhs_sp_perk_30_xp" "+30% XP"
"xhs_sp_perk_40_xp" "+40% XP"
"xhs_sp_perk_2_votes" "2 votes"
"xhs_sp_perk_3_votes" "3 votes"
"xhs_sp_perk_4_votes" "4 votes"
"xhs_sp_perk_5_votes" "5 votes"
"xhs_sp_perk_emerald" "Emerald Green"
"xhs_sp_perk_solar" "Solar Gold"
"xhs_sp_perk_ember" "Ember Red"
"xhs_sp_perk_storm" "Storm Blue"
"xhs_sp_perk_amethyst" "Amethyst Violet"
"xhs_sp_perk_discord" "Discord role"
"xhs_sp_pagination_count" "{first}-{last} of {total}"
"xhs_sp_previous_page" "Previous"
"xhs_sp_unequip" "Unequip"
"xhs_sp_unequip_all" "Unequip all"
"xhs_sp_equipped_item" "Equipped: {item}"
"xhs_sp_equipped_default" "Equipped: Default"
"xhs_sp_next_page" "Next"
"xhs_sp_page_value" "Page {page} / {pages}"
"xhs_sp_per_page" "Per page"
"xhs_sp_courier_requests" "Courier Requests"
"xhs_sp_companion_requests" "Companion Requests"
"xhs_sp_courier_fallback_name" "Courier"
"xhs_sp_courier_request_meta" "{rarity} courier · Item {item}"
"xhs_sp_courier_request_title" "Request the next Supporter companion"
"xhs_sp_courier_request_body" "Browse every Dota courier not already in the Supporter Pass. Requests are logged for the development team."
"xhs_sp_courier_catalog_unavailable" "Courier catalog unavailable"
"xhs_sp_courier_catalog_unavailable_body" "Generate the catalogue before compiling Panorama."
"xhs_sp_request_companion" "Request companion"
"xhs_sp_request_pending" "Sending..."
"xhs_sp_requested" "Requested"
"xhs_sp_request_recorded" "Companion request recorded."
"xhs_sp_request_failed" "Companion request failed."
"xhs_sp_request_rate_limited" "Please wait before sending another companion request."
"xhs_sp_request_invalid_courier" "This courier cannot be requested."
"sp26_teleport_fall_2025" "Fall 2022 Teleport"
"sp26_teleport_spring_2026" "Compendium 2023 Teleport"
"sp26_teleport_winter_2025" "Winter 2025 Teleport"
"sp26_teleport_summer_2026" "Compendium 2024 Teleport"
"sp26_ascension_fall_2025" "Fall 2025 Ascension"
"sp26_ascension_spring_2026" "Spring 2026 Ascension"
"sp26_ascension_winter_2025" "Fall 2022 Ascension"
"sp26_ascension_summer_2026" "Summer 2026 Ascension"
"sp26_kill_drow_arcana" "Drow Arcana Revenge"
"sp26_kill_drow_arcana_style2" "Drow Arcana Revenge · Style II"
"sp26_emblem_diretide_violet" "TI8 Crystalline Emblem"
"sp26_companion_carty" "Carty"
"sp26_companion_llama" "Llama"
"sp26_companion_jumo" "Jumo"
"sp26_companion_boooofus" "Boooofus"
"sp26_companion_sappling" "Little Sappling"
"sp26_companion_vaal" "Vaal"
"sp26_companion_raiq" "Raiq"
"sp26_companion_frog" "Frog"
"sp26_companion_jin" "Jin"
"sp26_companion_chocobo" "Chocobo"
"sp26_companion_snelfret" "Snelfret"
"sp26_companion_amphibian_kid" "Frog Companion"
"sp26_companion_demi_doom" "Jin Companion"
"sp26_companion_amaterasu" "Amaterasu"
"sp26_companion_baekho" "Baekho"
"sp26_companion_devourling" "Chocobo Companion"
"sp26_companion_itsy" "Itsy"
"sp26_companion_butch" "Butch"
"sp26_companion_golden_venoling" "Snelfret Companion"
"sp26_companion_mega_greevil" "Mega Greevil"
"sp26_effigy_earth_spirit" "Earth Brewling Effigy"
"sp26_effigy_ember_spirit" "Fire Brewling Effigy"
"sp26_effigy_storm_spirit" "Storm Brewling Effigy"
"sp26_effigy_grillhound" "Grillhound Effigy"
"sp26_effigy_llama" "Llama Effigy"
"sp26_effigy_captain_bamboo" "Captain Bamboo Effigy"
"sp26_potion_ti6" "False Promise · Mana Burn · TI6 Potion Bundle"
"sp26_potion_ti7" "Essence Ring · Mana Leak · Spring 2026 Potion Bundle"
"sp26_high_five_foam_hand" "Foam Hand High Five"
"sp26_potion_ti9" "Hand of God · Arcane Blink · TI9 Potion Bundle"
"sp26_high_five_frostivus_mug" "Frostivus Mug High Five"
"sp26_potion_fall_2022" "Soul Rip · Forager's Kit · Winter 2025 Potion Bundle"
"sp26_potion_fall_2025" "Cold Embrace · Mana Void · Fall 2025 Potion Bundle"
"sp26_high_five_dark_carnival" "Dark Carnival High Five"
"sp26_rebirth_respawn" "Return to Battle"
"sp26_rebirth_wraith_king" "Wraith King Rebirth"
"sp26_rebirth_prime_2" "Dark Willow Ether Rebirth"
"sp26_rebirth_prime_3" "Earthshaker Arcana Rebirth"
"sp26_rebirth_crownfall_golem" "Phoenix Supernova Rebirth"
"sp26_rebirth_wraith_arcana" "Wraith Arcana Rebirth"
"sp26_rebirth_wraith_arcana_style2" "Wraith Arcana Rebirth · Style II"
"sp26_rebirth_prime_6" "Spectre Arcana Rebirth"
"sp26_attack_lifesteal_blue" "Azure Attack Lifesteal"
"sp26_attack_lifesteal_radiant" "Radiant Attack Lifesteal"
"sp26_attack_lifesteal_soulfrost" "Soulfrost Attack Lifesteal"
"sp26_attack_lifesteal_primal" "Primal Attack Lifesteal"
"sp26_spell_lifesteal_octarine" "Cyan Grace Spell Lifesteal"
"sp26_spell_lifesteal_skywrath" "Skywrath Arcana Spell Lifesteal"
"sp26_spell_lifesteal_skywrath_style2" "Skywrath Arcana Spell Lifesteal · Style II"
"sp26_regen_fall_2025" "Fall 2025 Regen Aura"
"sp26_regen_winter_2025" "Winter 2025 Regen Aura"
"sp26_regen_spring_2026" "Spring 2026 Regen Aura"
"sp26_regen_summer_2026" "Summer 2026 Regen Aura"
"sp26_immolation_fall_2022" "Fall 2022 Immolation"
"sp26_immolation_fall_2025" "Fall 2025 Immolation"
"sp26_immolation_winter_2025" "TI7 Aquatic Immolation"
"sp26_immolation_spring_2026" "Spring 2026 Immolation"
"sp26_immolation_summer_2026" "Summer 2026 Immolation"
"sp26_high_five_crownfall" "Crownfall High Five"
"sp26_high_five_monster_hunter" "Monster Hunter High Five"
"sp26_title_siege_regular" "Siege Regular"
"sp26_title_fortress_guardian" "Fortress Guardian"
"sp26_title_world_tree_champion" "World Tree Champion"
"sp26_fragments_50" "50 Fragments"
"sp26_fragments_75" "75 Fragments"
"sp26_fragments_100" "100 Fragments"
"sp26_fragments_125" "125 Fragments"
"sp26_fragments_150" "150 Fragments"
"sp26_fragments_200" "200 Fragments"
"sp26_fragments_250" "250 Fragments"
"sp26_fragments_300" "300 Fragments"
"sp26_fragments_400" "400 Fragments"
"sp26_premium_fragments_100" "100 Fragments"
"sp26_premium_fragments_150" "150 Fragments"
"sp26_premium_fragments_200" "200 Fragments"
"sp26_premium_fragments_300" "300 Fragments"
"sp26_premium_fragments_400" "400 Fragments"
"sp26_premium_fragments_500" "500 Fragments"
"sp26_premium_fragments_600" "600 Fragments"
"sp26_premium_fragments_750" "750 Fragments"
"sp26_premium_fragments_1000" "1,000 Fragments"
"xhs_sp_request_effigy" "Request statue / effigy"
