"addon_game_name"													"X Hero Siege"
"DOTA_Tooltip_modifier_orb_of_lightning_purge"			"Lightning Purge"
"DOTA_Tooltip_modifier_orb_of_lightning_purge_Description"	"Rooted, disarmed, and purged by Orb of Lightning."
"DOTA_Tooltip_modifier_orb_of_earth_active"				"Earth Orb Active"
"DOTA_Tooltip_modifier_orb_of_earth_active_Description"	"Attacks can stun enemies when the orb effect triggers."
"DOTA_Tooltip_modifier_orb_of_earth_bash"				"Earth Bash"
"DOTA_Tooltip_modifier_orb_of_earth_bash_Description"	"Stunned by Orb of Earth."
"DOTA_Tooltip_modifier_orb_of_fire"						"Fire Orb Active"
"DOTA_Tooltip_modifier_orb_of_fire_Description"			"Grants cleave to melee attacks."
"DOTA_Tooltip_modifier_orb_of_frost"						"Frost Orb Active"
"DOTA_Tooltip_modifier_orb_of_frost_Description"			"Attacks can briefly freeze enemies."
"DOTA_Tooltip_modifier_orb_of_frost_target"				"Frozen"
"DOTA_Tooltip_modifier_orb_of_frost_target_Description"	"Stunned by Orb of Frost."

//CASTLE
"DOTA_Tooltip_ability_castle_muradin_defend"						"Muradin Bronzebeard"
"DOTA_Tooltip_ability_castle_muradin_defend_Description"			"Release Muradin Bronzebeard to defend the castle when below 40% health. The Castle stays invulnerable for a short duration."
"DOTA_Tooltip_ability_castle_muradin_defend_hp_tooltip"				"%TRIGGER HEALTH:"
"DOTA_Tooltip_ability_castle_muradin_defend_invulnerability_time"	"INVULNERABILITY TIME:"

//BANEHALLOW
"DOTA_Tooltip_ability_holdout_bane_death_coil"											"Death Coil"
"DOTA_Tooltip_ability_holdout_bane_death_coil_Description"								"Hurls a coil of death at a target enemy unit, dealing high damage at once."
"DOTA_Tooltip_ability_holdout_bane_death_coil_Note0"									"Can be dodged."

"DOTA_Tooltip_ability_holdout_bane_permanent_immolation"							"Permanent Immolation"
"DOTA_Tooltip_ability_holdout_bane_permanent_immolation_Description"				"Engulfs Banehallow in flames, causing damage to nearby enemy units."
"DOTA_Tooltip_ability_holdout_bane_permanent_immolation_Lore"						"Of the rituals learned at the Isle of Masks, tending wounds with a bit of voodoo magic has proven to be quite useful."
"DOTA_Tooltip_ability_holdout_bane_permanent_immolation_Note0"						"Immolation does not drain mana and cannot be deactivated."
"DOTA_Tooltip_ability_holdout_bane_permanent_immolation_damage_per_tick"			"DAMAGE PER SECOND:"
"DOTA_Tooltip_ability_holdout_bane_permanent_immolation_radius"						"RADIUS:"

"DOTA_Tooltip_ability_holdout_bane_critical"						"Critical Attack"
"DOTA_Tooltip_ability_holdout_bane_critical_Description"			"Gives a chance to do more damage on an attack."
"DOTA_Tooltip_ability_holdout_bane_critical_crit_mult"				"%CRITICAL DAMAGE:"
"DOTA_Tooltip_ability_holdout_bane_critical_crit_chance"			"%CHANCE CRITICAL:"

"DOTA_Tooltip_ability_holdout_command_aura_innate"									"Command Aura"
"DOTA_Tooltip_ability_holdout_command_aura_innate_Description"						"Increase damage percentage of nearby allies."
"DOTA_Tooltip_ability_holdout_command_aura_innate_bonus_damage_percentage"			"%BONUS DAMAGE:"
"DOTA_Tooltip_ability_holdout_command_aura_innate_radius"							"RADIUS:"

"DOTA_Tooltip_ability_holdout_stampede"									"Stampede"
"DOTA_Tooltip_ability_holdout_stampede_Description"						"Calls down death skulls, moving in front of Banehallow and dealing massive damage on hit."
"DOTA_Tooltip_ability_holdout_stampede_Note0"							"Death Skulls explode when they hit a unit."
"DOTA_Tooltip_ability_holdout_stampede_damage_per_skull"				"SKULLS DAMAGE:"
"DOTA_Tooltip_ability_holdout_stampede_distance"						"SPAWN DISTANCE:"
"DOTA_Tooltip_ability_holdout_stampede_speed"							"SKULLS SPEED:"
"DOTA_Tooltip_ability_holdout_stampede_skull_per_sec_tooltip"			"SKULLS PER SEC:"
"DOTA_Tooltip_ability_holdout_stampede_radius_skulls"					"SKULLS RADIUS:"
"DOTA_Tooltip_ability_holdout_stampede_radius"							"SPAWN RADIUS:"


//PRIESTESS OF THE MOON
"DOTA_Tooltip_ability_holdout_watery_minion"						"Watery Minion"
"DOTA_Tooltip_ability_holdout_watery_minion_Description"			"The Light Forces summons a Watery Minion, under Priestess of the Moon orders."
"DOTA_Tooltip_ability_holdout_watery_minion_duration"				"DURATION:"
"DOTA_Tooltip_ability_holdout_watery_minion_ward_hp_tooltip"		"MINION HEALTH:"
"DOTA_Tooltip_ability_holdout_watery_minion_ward_damage_tooltip"	"MINION DAMAGE:"

"DOTA_Tooltip_ability_holdout_distance_aura"						"Distance Aura"
"DOTA_Tooltip_ability_holdout_distance_aura_Description"			"All allied heroes are granted bonus attack range."
"DOTA_Tooltip_ability_holdout_distance_aura_bonus_attack_range"		"BONUS ATTACK RANGE:"


"DOTA_Tooltip_ability_holdout_storm_rain"							"Storm Rain"
"DOTA_Tooltip_ability_holdout_storm_rain_Description"				"Calls the light forces to annihilate nearby enemy units in front of Priestess of the Moon"
"DOTA_Tooltip_ability_holdout_storm_rain_end_distance"				"DISTANCE:"
"DOTA_Tooltip_ability_holdout_storm_rain_targets"					"MAX TARGETS:"
"DOTA_Tooltip_ability_holdout_storm_rain_damage"					"DAMAGE:"

"DOTA_Tooltip_ability_holdout_rejuvenation"							"Rejuvenation"
"DOTA_Tooltip_ability_holdout_rejuvenation_Description"				"Heals a friendly unit over 12 seconds for %total_heal% hit points plus %tick_heal_pct%%% of its max health per second."
"DOTA_Tooltip_ability_holdout_rejuvenation_duration"				"DURATION:"
"DOTA_Tooltip_ability_holdout_rejuvenation_tick_heal"				"HEAL PER SEC:"
"DOTA_Tooltip_ability_holdout_rejuvenation_tick_heal_pct"			"MAX HEALTH HEAL PER SEC:"
"DOTA_Tooltip_ability_holdout_rejuvenation_total_heal"				"TOTAL HEALING:"

"DOTA_Tooltip_modifier_imba_shadow_word_buff"						"Rejuvenation"
"DOTA_Tooltip_modifier_imba_shadow_word_buff_Description"			"Restores health over time."

"DOTA_Tooltip_ability_holdout_monsoon"								"Monsoon"
"DOTA_Tooltip_ability_holdout_monsoon_Description"					"Calls down the light spirits to deal damage all around a specific area."
"DOTA_Tooltip_ability_holdout_monsoon_Note0"						"Stuns all enemy units in the radius for 0.1 seconds when cast."
"DOTA_Tooltip_ability_holdout_monsoon_radius"						"RADIUS:"
"DOTA_Tooltip_ability_holdout_monsoon_movespeed_slow"				"%MOVEMENT SPEED SLOW:"
"DOTA_Tooltip_ability_holdout_monsoon_attack_slow"					"ATTACK SLOW:"
"DOTA_Tooltip_ability_holdout_monsoon_damage"						"DAMAGE:"
"DOTA_Tooltip_ability_holdout_monsoon_stun_duration"				"STUN DURATION:"


//ABYSSAL UNDERLORD
"DOTA_Tooltip_ability_holdout_firestorm"							"Firestorm"
"DOTA_Tooltip_ability_holdout_firestorm_Description"				"Calls down a rain of fire, dealing heavy damage on enemy units and burning them."
"DOTA_Tooltip_ability_holdout_firestorm_Note0"						"Burn damage deals a percentage of the target health."
"DOTA_Tooltip_ability_holdout_firestorm_wave_damage"				"WAVE DAMAGE:"
"DOTA_Tooltip_ability_holdout_firestorm_burn_damage"				"%BURN DAMAGE:"
"DOTA_Tooltip_ability_holdout_firestorm_wave_count"					"NUMBER OF WAVES:"
"DOTA_Tooltip_ability_holdout_firestorm_burn_duration"				"BURN DURATION:"
"DOTA_Tooltip_ability_holdout_firestorm_radius"						"RADIUS:"

"DOTA_Tooltip_ability_holdout_war_thunder"							"War Thunder"
"DOTA_Tooltip_ability_holdout_war_thunder_Description"				"Stuns all enemy units in a specific radius, slowing attack speed and movement speed."
"DOTA_Tooltip_ability_holdout_war_thunder_radius"					"RADIUS:"
"DOTA_Tooltip_ability_holdout_war_thunder_stomp_damage"				"DAMAGE:"
"DOTA_Tooltip_ability_holdout_war_thunder_movement_slow"			"%MOVEMENT SLOW:"
"DOTA_Tooltip_ability_holdout_war_thunder_attack_speed_slow"		"ATTACK SLOW:"
"DOTA_Tooltip_ability_holdout_war_thunder_duration"					"DURATION:"

"DOTA_Tooltip_ability_holdout_unholy_aura"							"Unholy Aura"
"DOTA_Tooltip_ability_holdout_unholy_aura_Description"				"Increases movement speed of allied units and grants hitpoints regeneration."
"DOTA_Tooltip_ability_holdout_unholy_aura_aura_radius"				"RADIUS:"
"DOTA_Tooltip_ability_holdout_unholy_aura_bonus_health_regen"		"BONUS HEALTH REGEN:"
"DOTA_Tooltip_ability_holdout_unholy_aura_bonus_movement_speed"		"%BONUS MOVEMENT SPEED:"


"DOTA_Tooltip_ability_holdout_rain_of_chaos"						"Rain Of Chaos"
"DOTA_Tooltip_ability_holdout_rain_of_chaos_Description"			"Calls down meteors around Abyssal Underlord, stunning enemy units. Abyssal Underlord receive 50% of the physical incoming damage during the process."
"DOTA_Tooltip_ability_holdout_rain_of_chaos_damage_per_unit"		"DAMAGE PER METEOR:"
"DOTA_Tooltip_ability_holdout_rain_of_chaos_radius"					"RADIUS:"
"DOTA_Tooltip_ability_holdout_rain_of_chaos_stun_duration"			"STUN DURATION:"
"DOTA_Tooltip_ability_holdout_rain_of_chaos_time_between_meteors"	"TIME BETWEEN METEORS:"
"DOTA_Tooltip_ability_holdout_rain_of_chaos_meteors_per_tick"		"METEORS PER TICK:"
"DOTA_Tooltip_ability_holdout_rain_of_chaos_radius_explosion"		"METEOR RADIUS:"
"DOTA_Tooltip_ability_holdout_rain_of_chaos_damage_reduction"		"%DAMAGE REDUCTION:"

"DOTA_Tooltip_ability_holdout_doom"									"ANNIHILATION"
"DOTA_Tooltip_ability_holdout_doom_Description"						"Doom any enemy unit, slowing movement speed and attack speed, dealing damage and releasing a huge golem on death."
"DOTA_Tooltip_ability_holdout_doom_bonus_movement_speed"			"%MOVEMENT SLOW:"
"DOTA_Tooltip_ability_holdout_doom_duration"						"GOLEM DURATION:"

"DOTA_Tooltip_modifier_doom"					"ANNIHILATION"
"DOTA_Tooltip_modifier_doom_Description"		"Unit is Doomed, will release a huge Golem on death."

"DOTA_Tooltip_ability_doom_golem_hot_skin"					"Immolation"
"DOTA_Tooltip_ability_doom_golem_hot_skin_Description"		"Deals damage in a radius."

"DOTA_Tooltip_ability_baristol_holy_light"								"Holy Light"
"DOTA_Tooltip_ability_baristol_holy_light_Description"					"Heal an ally unit while damaging enemy units around."
"DOTA_Tooltip_ability_baristol_holy_light_Note0"						"Damage are based on 20% of healing."
"DOTA_Tooltip_ability_baristol_holy_light_heal"							"HEAL:"
"DOTA_Tooltip_ability_baristol_holy_light_damage"						"DAMAGE:"
"DOTA_Tooltip_ability_baristol_holy_light_radius"						"RADIUS:"

//ARTHAS
"DOTA_Tooltip_ability_holdout_holy_light"								"Holy Light"
"DOTA_Tooltip_ability_holdout_holy_light_Description"					"Heal an ally unit while damaging enemy units around."
"DOTA_Tooltip_ability_holdout_holy_light_Note0"							"Damage are based on 20% of healing."
"DOTA_Tooltip_ability_holdout_holy_light_heal"							"HEAL:"
"DOTA_Tooltip_ability_holdout_holy_light_damage"						"DAMAGE:"
"DOTA_Tooltip_ability_holdout_holy_light_radius"						"RADIUS:"

"DOTA_Tooltip_ability_holdout_divine_shield"							"Divine Shield"
"DOTA_Tooltip_ability_holdout_divine_shield_Description"				"Protect arthas from any source of damage and block all spells."
"DOTA_Tooltip_ability_holdout_divine_shield_duration"					"DURATION:"

"DOTA_Tooltip_modifier_divine_shield"									"Divine Shield"
"DOTA_Tooltip_modifier_divine_shield_Description"						"Immunised by all types of damage."

"DOTA_Tooltip_ability_holdout_endurance_aura_alt"										"Endurance Aura"
"DOTA_Tooltip_ability_holdout_endurance_aura_alt_Description"							"Increases the movement speed and Attack Rate of nearby friendly units."
"DOTA_Tooltip_ability_holdout_endurance_aura_alt_Note0"									"Stacks with Divine aura ONLY!"
"DOTA_Tooltip_ability_holdout_endurance_aura_alt_bat_reduction"							"BASE ATTACK TIME:"
"DOTA_Tooltip_ability_holdout_endurance_aura_alt_endurance_bonus_movement_speed"		"%MOVEMENT SPEED:"
"DOTA_Tooltip_ability_holdout_endurance_aura_alt_radius"								"RADIUS:"

"DOTA_Tooltip_ability_holdout_frostmourne"								"Frostmourne"
"DOTA_Tooltip_ability_holdout_frostmourne_Description"					"Gives a % of chance to bash an enemy and deal extra damage. Also gives a chance to avoid attacks."
"DOTA_Tooltip_ability_holdout_frostmourne_stun_duration"				"STUN DURATION:"
"DOTA_Tooltip_ability_holdout_frostmourne_bonus_damage_stun"			"BASH DAMAGE:"
"DOTA_Tooltip_ability_holdout_frostmourne_critical_damage"				"%CRITICAL DAMAGE:"
"DOTA_Tooltip_ability_holdout_frostmourne_evasion_chance"				"%EVASION:"
"DOTA_Tooltip_ability_holdout_frostmourne_stun_chance"					"%STUN CHANCE:"

"DOTA_Tooltip_ability_holdout_innate_great_cleave"							"Holy Cleave"
"DOTA_Tooltip_ability_holdout_innate_great_cleave_Description"				"Arthas strikes with great force, cleaving all nearby enemy units with his attack."
"DOTA_Tooltip_ability_holdout_innate_great_cleave_radius"					"RADIUS:"
"DOTA_Tooltip_ability_holdout_innate_great_cleave_cleave_pct"				"%DAMAGE:"

"DOTA_Tooltip_modifier_great_cleave"				"Great Cleave"
"DOTA_Tooltip_modifier_great_cleave_Description"	"Grants 20%% cleave on attack."

"DOTA_Tooltip_ability_holdout_light_roar"								"Light Roar"
"DOTA_Tooltip_ability_holdout_light_roar_Description"					"Grants bonus damage, armor, and life regeneration in a radius around Arthas when cast."
"DOTA_Tooltip_ability_holdout_light_roar_radius"						"RADIUS:"
"DOTA_Tooltip_ability_holdout_light_roar_bonus_damage_percentage"		"%BONUS DAMAGE:"
"DOTA_Tooltip_ability_holdout_light_roar_armor_bonus"					"BONUS ARMOR:"
"DOTA_Tooltip_ability_holdout_light_roar_duration"						"DURATION:"
"DOTA_Tooltip_ability_holdout_light_roar_hp_regeneration"				"%HEALTH REGEN:"


"DOTA_Tooltip_ability_holdout_knights_armor"								"Knight's Armor"
"DOTA_Tooltip_ability_holdout_knights_armor_Description"					"Returns a percentage of damage dealt to the attacker. Also reduce damage taken."
"DOTA_Tooltip_ability_holdout_knights_armor_hero_return_percent"			"%RETURN DAMAGE:"
"DOTA_Tooltip_ability_holdout_knights_armor_damage_reduction"				"%DAMAGE REDUCTION:"
"DOTA_Tooltip_ability_holdout_knights_armor_bonus_armor"					"BONUS ARMOR:"


//ARCHIMAGE
"DOTA_Tooltip_ability_holdout_blizzard"										"Blizzard"
"DOTA_Tooltip_ability_holdout_blizzard_Description"							"Archimage calls down waves of ice crushing down on an area. Each wave deals damage to all units in area of effect."
"DOTA_Tooltip_ability_holdout_blizzard_radius"								"RADIUS:"
"DOTA_Tooltip_ability_holdout_blizzard_wave_duration"						"DURATION:"
"DOTA_Tooltip_ability_holdout_blizzard_wave_count"							"NUMBER OF WAVES:"
"DOTA_Tooltip_ability_holdout_blizzard_wave_damage"							"DAMAGE PER WAVE:"
"DOTA_Tooltip_ability_holdout_blizzard_attack_slow"							"ATTACK SLOW:"
"DOTA_Tooltip_ability_holdout_blizzard_movement_slow"						"%MOVEMENT SLOW:"
"DOTA_Tooltip_ability_holdout_blizzard_slow_duration"						"SLOW DURATION:"
"DOTA_Tooltip_ability_holdout_blizzard_total_damage"						"TOTAL DAMAGE:"


"DOTA_Tooltip_ability_holdout_frostbolt"									"Frostbolt"
"DOTA_Tooltip_ability_holdout_frostbolt_Description"						"Hurls a coil of ice at a target enemy unit, dealing damage and stunning the target for 2 seconds."
"DOTA_Tooltip_ability_holdout_frostbolt_blast_stun_duration"				"DURATION:"

"DOTA_Tooltip_ability_holdout_magic_shield"									"Magic Shield"
"DOTA_Tooltip_ability_holdout_magic_shield_Description"						"Creates a shield that immune the target to magical spells."
"DOTA_Tooltip_ability_holdout_magic_shield_duration"						"DURATION:"

"DOTA_Tooltip_modifier_magic_shield"		"Magic Shield"

"DOTA_Tooltip_ability_holdout_frost_shield"										"Frost Shield"
"DOTA_Tooltip_ability_holdout_frost_shield_Description"							"Creates a shield around a friendly unit or building, increasing its armor and slowing enemies that attack it."
"DOTA_Tooltip_ability_holdout_frost_shield_Lore"								"Originally crafted during his ambush for self-defense, the Lich is capable of enchanting others with a formidable defense of frost magic."
"DOTA_Tooltip_ability_holdout_frost_shield_Note0"								"When autocast is enabled, Frost Shield is cast on nearby allies when they are attacked."
"DOTA_Tooltip_ability_holdout_frost_shield_armor_bonus"							"ALLY ARMOR BONUS:"
"DOTA_Tooltip_ability_holdout_frost_shield_building_armor_bonus_tooltip"		"BUILDING ARMOR BONUS:"
"DOTA_Tooltip_ability_holdout_frost_shield_slow_movement_speed"					"%ENEMY MOVE SLOW:"
"DOTA_Tooltip_ability_holdout_frost_shield_slow_attack_speed"					"ENEMY ATTACK SLOW:"
"DOTA_Tooltip_ability_holdout_frost_shield_slow_duration"						"SLOW DURATION:"
"DOTA_Tooltip_ability_holdout_frost_shield_duration"							"DURATION:"
"DOTA_Tooltip_modifier_xhs_frost_shield"										"Frost Shield"
"DOTA_Tooltip_modifier_xhs_frost_shield_Description"							"Armor: +%dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%. Enemies that attack this unit are slowed."
"DOTA_Tooltip_modifier_xhs_frost_shield_slow"									"Frost Shield Slow"
"DOTA_Tooltip_modifier_xhs_frost_shield_slow_Description"						"Movement speed: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. Attack speed: %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."


//ARCHMAGE
"DOTA_Tooltip_ability_holdout_crushing_wave"							"Crushing Wave"
"DOTA_Tooltip_ability_holdout_crushing_wave_Description"				"Launch a wave of water that deals damage to enemy units in a line area."
"DOTA_Tooltip_ability_holdout_crushing_wave_start_radius"				"RADIUS:"
"DOTA_Tooltip_ability_holdout_crushing_wave_range"						"RANGE:"
"DOTA_Tooltip_ability_holdout_crushing_wave_speed"						"SPEED:"

"DOTA_Tooltip_ability_holdout_summon_water_elemental"						"Water Elemental"
"DOTA_Tooltip_ability_holdout_summon_water_elemental_Description"			"Summons a Water Elemental to fight under your orders."
"DOTA_Tooltip_ability_holdout_summon_water_elemental_duration"				"DURATION:"
"DOTA_Tooltip_ability_holdout_summon_water_elemental_hit_points"			"HITPOINTS:"
"DOTA_Tooltip_ability_holdout_summon_water_elemental_damage"				"DAMAGE:"

"DOTA_Tooltip_ability_holdout_debilitation_aura"								"Debilitation Aura"
"DOTA_Tooltip_ability_holdout_debilitation_aura_Description"					"Reduces armor of nearby enemy units."
"DOTA_Tooltip_ability_holdout_debilitation_aura_presence_radius"				"RADIUS:"
"DOTA_Tooltip_ability_holdout_debilitation_aura_presence_armor_reduction"		"ARMOR:"

"DOTA_Tooltip_ability_holdout_drain"								"Drain"
"DOTA_Tooltip_ability_holdout_drain_Description"					"The Archmage uses his magic to drain enemy's life and mana."
"DOTA_Tooltip_ability_holdout_drain_Note0"							"Draining mana does not reduce enemy's mana."
"DOTA_Tooltip_ability_holdout_drain_health_drain"					"HEALTH/MANA DRAIN:"
"DOTA_Tooltip_ability_holdout_drain_duration_tooltip"				"DURATION:"
"DOTA_Tooltip_ability_holdout_drain_tick_rate"						"TICK RATE:"

"DOTA_Tooltip_ability_holdout_mana_shield"							"Mana Shield"
"DOTA_Tooltip_ability_holdout_mana_shield_Description"				"Creates a shield that absorbs %absorption_tooltip%%% of incoming damage. Each point of mana absorbs %damage_per_mana% damage."
